state	power	likelihood
100	1	-295.971
200	1	-288.145
100	0.773781	-285.614
200	0.773781	-296.69
100	0.59049	-304.801
200	0.59049	-294.734
100	0.443705	-306.145
200	0.443705	-316.594
100	0.32768	-351.039
200	0.32768	-313.196
100	0.237305	-348.333
200	0.237305	-376.53
100	0.16807	-347.101
200	0.16807	-355.541
100	0.116029	-412.32
200	0.116029	-400.526
100	0.07776	-476.832
200	0.07776	-439.866
100	0.0503284	-546.009
200	0.0503284	-507.93
100	0.03125	-562.477
200	0.03125	-496.949
100	0.0184528	-1176.36
200	0.0184528	-624.614
100	0.01024	-750.396
200	0.01024	-678.042
100	0.00525219	-1260.27
200	0.00525219	-1351.74
100	0.00243	-1127.83
200	0.00243	-1374.89
100	0.000976563	-3291.98
200	0.000976563	-2223.89
100	0.00032	-3421.07
200	0.00032	-4391.41
100	7.59375e-05	-4247.06
200	7.59375e-05	-2445.2
100	1e-05	-2941.55
200	1e-05	-7421.39
100	3.125e-07	-3040.7
200	3.125e-07	-12195.7
100	1.16658e-302	-4665.21
200	1.16658e-302	-6737.63
