Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	0	-271.845	-274.199	2.35342	0.006758128	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.051739	0.0821344	0.117034	0.185788	0.09804339	0.5556553
1	1	-271.181	-274.034	2.85366	0.1871843	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0725471	0.0901962	0.106573	0.1325	0.09804339	0.2618105
2	0	-264.681	-274.185	9.50454	0.01368846	5.26921e-05	5.26921e-05	5.26921e-05	5.26921e-05	5.269213e-05	0.0781337	0.100322	0.1215	0.156003	0.1104043	0.3005413
3	1	-268.722	-273.793	5.07055	0.07600629	0.00575872	0.00575872	0.00575872	0.00575872	0.005758718	0.0666368	0.0830811	0.0983779	0.122655	0.09040653	0.2651889
4	0	-257.635	-270.778	13.143	0.1482471	1.40206e-06	1.40206e-06	1.40206e-06	1.40206e-06	1.402057e-06	0.0672923	0.0899352	0.112317	0.15011	0.1005051	0.3487307
5	1	-267.348	-274.094	6.74574	0.012711	0.000832047	0.000832047	0.000832047	0.000832047	0.0008320472	0.0313525	0.0525253	0.0779969	0.130669	0.06400634	0.6204089
6	0	-258.354	-271.374	13.0203	0.1667657	1.90599e-06	1.90599e-06	1.90599e-06	1.90599e-06	1.905986e-06	0.140404	0.143506	0.14593	0.149155	0.1447132	0.02628192
7	1	-270.502	-273.131	2.62951	0.05464426	0.0472092	0.0472092	0.0472092	0.0472092	0.04720917	0.0688345	0.0937944	0.118887	0.161997	0.1055981	0.3720045
8	0	-254.867	-268.19	13.323	0.1987724	1.25372e-06	1.25372e-06	1.25372e-06	1.25372e-06	1.253722e-06	0.0865158	0.105343	0.122496	0.149153	0.1135961	0.2367292
9	1	-265.327	-273.746	8.41836	0.1645638	0.000110995	0.000110995	0.000110995	0.000110995	0.0001109946	0.0433381	0.0729881	0.108821	0.183271	0.08912147	0.6267382
10	0	-256.157	-268.897	12.7399	0.2023133	3.24729e-06	3.24729e-06	3.24729e-06	3.24729e-06	3.247291e-06	0.105992	0.109244	0.111804	0.115235	0.1105169	0.03634356
11	1	-257.066	-269.862	12.7967	0.1944201	2.67348e-06	2.67348e-06	2.67348e-06	2.67348e-06	2.673475e-06	0.125182	0.127948	0.130109	0.132984	0.1290239	0.02627754
12	0	-263.639	-273.259	9.61956	0.0655276	6.29052e-05	6.29052e-05	6.29052e-05	6.29052e-05	6.290522e-05	0.0669293	0.0825614	0.0969676	0.119615	0.08947499	0.2523772
13	1	-254.919	-268.684	13.7651	0.1815418	1.02195e-06	1.02195e-06	1.02195e-06	1.02195e-06	1.021948e-06	0.0956984	0.105571	0.113819	0.125561	0.1096174	0.118046
14	0	-269.835	-274.257	4.42184	0.05320026	0.0155352	0.0155352	0.0155352	0.0155352	0.01553516	0.0815557	0.0867256	0.0909076	0.0966703	0.08879194	0.0738992
15	1	-257.329	-270.096	12.7667	0.1795431	2.79985e-06	2.79985e-06	2.79985e-06	2.79985e-06	2.799847e-06	0.127886	0.129289	0.130374	0.131804	0.1298303	0.01311915
16	0	-257.359	-270.643	13.2845	0.1750516	1.35875e-06	1.35875e-06	1.35875e-06	1.35875e-06	1.358749e-06	0.0746577	0.0937437	0.111608	0.140141	0.1022868	0.2737143
17	1	-264.903	-273.609	8.70588	0.08745741	9.80597e-05	9.80597e-05	9.80597e-05	9.80597e-05	9.805973e-05	0.0355505	0.0604771	0.0908644	0.154575	0.07412971	0.6388163
