Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-271.181	-274.034	2.85366	0.1871843	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0725471	0.0901962	0.106573	0.1325	0.09804339	0.2618105
100	-268.722	-273.793	5.07055	0.07600629	0.00575872	0.00575872	0.00575872	0.00575872	0.005758718	0.0666368	0.0830811	0.0983779	0.122655	0.09040653	0.2651889
200	-267.348	-274.094	6.74574	0.012711	0.000832047	0.000832047	0.000832047	0.000832047	0.0008320472	0.0313525	0.0525253	0.0779969	0.130669	0.06400634	0.6204089
300	-270.502	-273.131	2.62951	0.05464426	0.0472092	0.0472092	0.0472092	0.0472092	0.04720917	0.0688345	0.0937944	0.118887	0.161997	0.1055981	0.3720045
400	-265.327	-273.746	8.41836	0.1645638	0.000110995	0.000110995	0.000110995	0.000110995	0.0001109946	0.0433381	0.0729881	0.108821	0.183271	0.08912147	0.6267382
500	-257.066	-269.862	12.7967	0.1944201	2.67348e-06	2.67348e-06	2.67348e-06	2.67348e-06	2.673475e-06	0.125182	0.127948	0.130109	0.132984	0.1290239	0.02627754
600	-254.919	-268.684	13.7651	0.1815418	1.02195e-06	1.02195e-06	1.02195e-06	1.02195e-06	1.021948e-06	0.0956984	0.105571	0.113819	0.125561	0.1096174	0.118046
700	-257.329	-270.096	12.7667	0.1795431	2.79985e-06	2.79985e-06	2.79985e-06	2.79985e-06	2.799847e-06	0.127886	0.129289	0.130374	0.131804	0.1298303	0.01311915
800	-264.903	-273.609	8.70588	0.08745741	9.80597e-05	9.80597e-05	9.80597e-05	9.80597e-05	9.805973e-05	0.0355505	0.0604771	0.0908644	0.154575	0.07412971	0.6388163
900	-270.856	-276.257	5.40097	0.1821649	0.00251552	0.00251552	0.00251552	0.00251552	0.002515517	0.014579	0.0327315	0.0608266	0.136562	0.04462004	0.9723995
1000	-271.244	-273.119	1.87547	0.09584322	0.0890507	0.0890507	0.0890507	0.0890507	0.08905066	0.078568	0.106657	0.134804	0.182999	0.1199079	0.3675054
1100	-271.61	-273.79	2.18031	0.00207391	0.0921191	0.0921191	0.0921191	0.0921191	0.09211912	0.074905	0.0934146	0.110637	0.137976	0.1016616	0.2655092
1200	-267.48	-274.197	6.71619	0.08757701	0.000569211	0.000569211	0.000569211	0.000569211	0.0005692113	0.0269161	0.0531174	0.0894223	0.17647	0.0689194	0.8173277
1300	-264.98	-274.278	9.29742	0.0118146	5.44176e-05	5.44176e-05	5.44176e-05	5.44176e-05	5.441764e-05	0.0485085	0.0753143	0.105505	0.163807	0.08914046	0.5289479
1400	-262.307	-273.479	11.1726	0.07342064	9.12906e-06	9.12906e-06	9.12906e-06	9.12906e-06	9.129059e-06	0.0300828	0.052298	0.0798927	0.138891	0.06463919	0.6648994
1500	-256.337	-269.707	13.3702	0.1818615	1.11271e-06	1.11271e-06	1.11271e-06	1.11271e-06	1.112711e-06	0.104603	0.12307	0.139398	0.164007	0.1309798	0.1954767
1600	-257.705	-270.381	12.6762	0.2035071	3.82768e-06	3.82768e-06	3.82768e-06	3.82768e-06	3.827683e-06	0.0918585	0.0958557	0.0990358	0.103345	0.09743274	0.0512135
1700	-263.432	-274.436	11.0039	0.06444519	8.81984e-06	8.81984e-06	8.81984e-06	8.81984e-06	8.819838e-06	0.00795501	0.0216247	0.0465295	0.126484	0.03172041	1.202381
1800	-261.857	-274.484	12.6264	0.03464603	3.24342e-06	3.24342e-06	3.24342e-06	3.24342e-06	3.243419e-06	0.0309435	0.0472189	0.065276	0.0996093	0.05551811	0.5081463
1900	-271.161	-274.282	3.12024	0.08282015	0.0185261	0.0185261	0.0185261	0.0185261	0.01852607	0.013944	0.0344529	0.0689018	0.170244	0.04872239	1.087575
2000	-269.872	-274.165	4.2932	0.04259885	0.0063768	0.0063768	0.0063768	0.0063768	0.006376802	0.0231645	0.0478537	0.0834351	0.172362	0.06318766	0.8723345
2100	-268.081	-274.177	6.09614	0.1083699	0.00163968	0.00163968	0.00163968	0.00163968	0.00163968	0.0403506	0.0622812	0.0868551	0.134061	0.07354887	0.5218791
