Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-67127.2	-66857	-270.242	-0.005007638	0.1283908	0.1233832	1.040586
1	1	-68359.6	-68096.5	-263.115	-0.1136244	0.1213282	0.007703825	15.74908
2	0	-53631.4	-53381.1	-250.277	-0.06027381	0.1719066	0.1116328	1.539929
3	1	-53505.2	-53265	-240.129	-0.1653832	0.1868298	0.02144659	8.711399
4	0	-43119.6	-42901	-218.654	-0.1142197	0.3738833	0.2596636	1.439876
5	1	-41140.4	-40906.1	-234.244	-0.1301456	0.1531088	0.02296327	6.667554
6	0	-34402.4	-34209.4	-192.988	-0.001359128	0.5769807	0.5756216	1.002361
7	1	-32940	-32755.2	-184.738	-0.2851536	0.5562613	0.2711078	2.051809
8	0	-27081	-26922.6	-158.382	0.6425117	0.9883242	1.630836	0.6060231
9	1	-28517.2	-28353.9	-163.311	-0.5560887	1.001682	0.4455932	2.247974
10	0	-22517.1	-22374.1	-143.046	1.378645	0.5948643	1.973509	0.3014247
11	1	-24254.8	-24108.2	-146.612	-1.082311	1.305987	0.2236757	5.838753
12	0	-20622.8	-20504.7	-118.053	1.973937	0.2639191	2.237856	0.1179339
13	1	-20580	-20455.4	-124.566	-2.079974	2.341482	0.2615083	8.953757
14	0	-18422	-18311.6	-110.337	2.614547	0.1766285	2.791176	0.06328102
15	1	-19623.9	-19499.9	-123.938	-1.476382	1.766497	0.2901147	6.088961
16	0	-18014.2	-17906	-108.248	3.158797	0.1535498	3.312347	0.04635681
17	1	-19181.5	-19060.4	-121.041	-2.891675	3.118711	0.2270357	13.73665
18	0	-17845.9	-17739.2	-106.724	3.160432	0.1082009	3.268633	0.03310279
19	1	-18564.1	-18446.6	-117.476	-2.117738	2.312052	0.1943146	11.8985
20	0	-17798	-17688.8	-109.2	2.385638	0.2891496	2.674788	0.1081019
21	1	-18038.2	-17926.6	-111.608	-3.676479	3.80469	0.1282106	29.6753
22	0	-17793	-17686.4	-106.66	3.084108	0.1559999	3.240108	0.04814651
23	1	-18002.2	-17894.4	-107.851	-2.78122	2.968444	0.1872241	15.85503
24	0	-17784.1	-17676.1	-107.912	2.497596	0.2058027	2.703399	0.0761274
25	1	-17953.5	-17845	-108.559	-3.235573	3.496253	0.2606801	13.41205
26	0	-17780.7	-17675.1	-105.654	3.27476	0.08036925	3.35513	0.02395414
27	1	-17938.1	-17831.8	-106.399	-3.018633	3.096103	0.07746999	39.96519
28	0	-17786.3	-17680.3	-105.948	3.894534	0.04942071	3.943955	0.01253075
29	1	-17866.2	-17760.2	-106.024	-2.824732	2.89958	0.07484741	38.73988
30	0	-17552.7	-17450.6	-102.116	3.605146	0.06595656	3.671102	0.01796642
31	1	-17825.1	-17717.6	-107.499	-3.868287	4.098785	0.2304981	17.78229
32	0	-17538.4	-17435.5	-102.862	3.733165	0.118795	3.85196	0.03084014
33	1	-17735.3	-17630.1	-105.181	-3.280578	3.428676	0.1480974	23.1515
34	0	-17542.1	-17439.7	-102.376	3.422924	0.1161364	3.53906	0.0328156
35	1	-17733.7	-17628.3	-105.337	-2.75521	2.88495	0.12974	22.23639
36	0	-17539	-17436.3	-102.691	2.967767	0.0872959	3.055063	0.02857418
37	1	-17724.2	-17619.7	-104.469	-2.823813	2.878259	0.05444641	52.86408
38	0	-17530.4	-17427.8	-102.633	4.106023	0.08078712	4.18681	0.01929563
39	1	-17539.1	-17436.6	-102.459	-3.833152	3.917932	0.08478011	46.21287
40	0	-17278.2	-17177.9	-100.34	3.412504	0.03431395	3.446818	0.009955255
41	1	-17542.8	-17441.1	-101.663	-3.192417	3.246969	0.05455123	59.52145
42	0	-17265.7	-17163.4	-102.271	3.35306	0.1911585	3.544218	0.05393531
43	1	-17554.7	-17450.4	-104.285	-2.756963	2.977639	0.2206767	13.49322
44	0	-17272.6	-17171	-101.575	4.173953	0.0693391	4.243292	0.01634087
45	1	-17548.3	-17446.1	-102.207	-3.926134	3.990268	0.0641339	62.21777
46	0	-17252.5	-17149.6	-102.898	3.592389	0.2524003	3.844789	0.06564737
47	1	-17552.4	-17450.8	-101.659	-3.828504	3.863788	0.03528351	109.5069
48	0	-17257.9	-17157.5	-100.458	3.932599	0.03738289	3.969982	0.009416386
49	1	-17478.5	-17376.7	-101.797	-3.969497	4.020359	0.05086158	79.04511
50	0	-17252.7	-17152.5	-100.242	4.143315	0.005908789	4.149224	0.001424071
51	1	-17474.5	-17371.5	-103.023	-3.071274	3.249385	0.1781106	18.24364
