Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-63734.5	-63484.8	-249.643	0.09453178	0.1069878	0.2015196	0.5309053
10	-47394.7	-47166.3	-228.378	0.06169044	0.2246036	0.286294	0.7845207
20	-38860.5	-38665.1	-195.464	0.1192475	0.3991692	0.5184166	0.7699776
30	-30426.1	-30257.5	-168.597	0.1856556	0.8140852	0.9997407	0.8142963
40	-24572.3	-24434.2	-138.148	1.236158	0.7538844	1.990042	0.3788284
50	-20591.5	-20476.1	-115.475	2.85593	0.2745502	3.13048	0.08770226
60	-18237.6	-18129.4	-108.176	2.463745	0.2144287	2.678174	0.08006525
70	-17487.9	-17384.3	-103.619	3.156939	0.1336071	3.290546	0.04060333
80	-17452.8	-17348.9	-103.885	4.233789	0.09143758	4.325227	0.02114053
90	-17411.1	-17308.1	-102.98	2.947845	0.1158194	3.063664	0.0378042
100	-17394.4	-17291.1	-103.251	3.036454	0.182806	3.21926	0.0567851
110	-17394.5	-17292.9	-101.678	3.914464	0.04196807	3.956432	0.01060755
120	-17396.3	-17294.4	-101.929	3.516918	0.08746002	3.604378	0.02426494
130	-17395.9	-17294.3	-101.595	3.527344	0.06129119	3.588635	0.01707925
140	-17182	-17081.8	-100.201	3.784571	0.04551042	3.830082	0.01188236
150	-17164.9	-17064.8	-100.03	3.674066	0.05504768	3.729114	0.0147616
160	-17165.8	-17065.7	-100.069	3.48006	0.06393403	3.543994	0.01804011
170	-17158.8	-17058.5	-100.264	4.143859	0.05542741	4.199286	0.01319925
180	-17160.5	-17060.6	-99.8622	3.65483	0.05595307	3.710783	0.0150785
190	-17162.3	-17061	-101.28	2.792393	0.06017932	2.852572	0.02109651
200	-17158.7	-17057.8	-100.907	3.987145	0.1379526	4.125098	0.03344225
210	-17152.9	-17053	-99.9195	3.833228	0.07889593	3.912123	0.02016703
220	-17151.8	-17051.5	-100.368	3.605988	0.1183115	3.724299	0.03176744
230	-17151.9	-17051.4	-100.557	3.607548	0.1309325	3.738481	0.03502293
240	-17101.2	-17002.5	-98.7593	3.727021	0.03079949	3.75782	0.008196106
250	-17093.3	-16993.8	-99.4326	3.996494	0.08351383	4.080008	0.02046904
260	-17099.3	-16999.2	-100.154	2.853898	0.05224762	2.906146	0.01797832
270	-17098.5	-17000	-98.4904	3.429503	0.008655149	3.438158	0.002517379
280	-17093.6	-16995	-98.5673	3.861003	0.01360938	3.874613	0.00351245
290	-17096.4	-16996.9	-99.4588	4.705102	0.008561269	4.713663	0.001816267
300	-17108.6	-17009.8	-98.7588	3.898555	0.06246321	3.961019	0.01576948
310	-17099.7	-16999.9	-99.7685	3.896362	0.1234391	4.019801	0.03070776
320	-17098	-16996.3	-101.75	3.890575	0.2697454	4.160321	0.06483764
330	-17106.4	-17005.8	-100.602	2.9192	0.1054817	3.024682	0.03487366
340	-17091.8	-16992.5	-99.2918	3.663697	0.0894914	3.753189	0.0238441
350	-17092.6	-16993.9	-98.639	3.947649	0.03424343	3.981892	0.008599789
360	-17092.3	-16990.8	-101.417	3.666904	0.2554882	3.922392	0.06513582
370	-17094.9	-16995.5	-99.3895	4.081075	0.0668347	4.14791	0.01611286
380	-17100.7	-17001.6	-99.1912	4.231601	0.02111258	4.252714	0.004964497
390	-17092.2	-16993.2	-98.9537	4.192061	0.02457471	4.216635	0.005828039
400	-17096.3	-16996.1	-100.245	4.78452	0.03508593	4.819606	0.007279833
410	-17096.5	-16997.1	-99.3185	4.506491	0.02036944	4.526861	0.004499682
420	-17121.3	-17017.8	-103.428	5.645808	0.02153234	5.66734	0.003799373
430	-17103.8	-17005.1	-98.6803	3.786506	0.02027156	3.806778	0.005325123
440	-17100.1	-17001	-99.0776	4.19594	0.03230511	4.228245	0.007640312
450	-17107.8	-17005.3	-102.49	4.795506	0.1862878	4.981794	0.03739371
460	-17096.3	-16990.5	-105.737	5.752034	0.1643675	5.916401	0.02778166
470	-17106.1	-17006.3	-99.7954	3.753435	0.137966	3.891401	0.03545407
480	-17094.2	-16995.8	-98.414	3.715035	0.04313793	3.758173	0.01147843
490	-17092.7	-16993.5	-99.1857	4.333234	0.03968106	4.372915	0.009074281
500	-17098.4	-16998.1	-100.34	4.570263	0.09544318	4.665706	0.02045632
510	-17098.7	-16999.7	-99.002	3.841074	0.05934181	3.900416	0.01521423
520	-17099.9	-16999.5	-100.419	3.001079	0.129431	3.13051	0.04134502
530	-17093.1	-16992.7	-100.403	3.38917	0.1918257	3.580996	0.05356771
540	-17094.5	-16995	-99.4886	3.43339	0.08327736	3.516668	0.02368076
550	-17104.1	-17005.3	-98.8225	3.451527	0.02066589	3.472193	0.005951826
560	-17108.2	-17006.5	-101.717	3.961644	0.2629782	4.224622	0.06224893
570	-17099.8	-16999.2	-100.59	5.084785	0.006590553	5.091376	0.001294454
580	-17097.2	-16997.5	-99.7395	4.012729	0.1136086	4.126337	0.02753256
590	-17094.8	-16993.3	-101.55	2.570175	0.04373407	2.613909	0.01673129
600	-17098.1	-16999.5	-98.6471	4.04606	0.02049932	4.066559	0.005040949
610	-17092.1	-16991.8	-100.25	3.873175	0.1617256	4.034901	0.04008168
620	-17089.3	-16990.6	-98.6682	3.50595	0.05221373	3.558164	0.01467435
630	-17091.6	-16992.9	-98.7889	4.270445	0.03442551	4.304871	0.007996873
640	-17096.2	-16997.8	-98.4457	4.206829	0.002734344	4.209563	0.0006495552
650	-17098.8	-16999	-99.7665	4.203119	0.1096118	4.312731	0.02541588
660	-17093	-16994.2	-98.7985	3.714316	0.06371692	3.778033	0.0168651
670	-17097.2	-16998.3	-98.857	3.494874	0.06750568	3.56238	0.0189496
