Iteration	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-56297.9	-56058.3	-239.603	0.700073	0.413092	0.830597	0.624692	0.739319	0.62271	0.395275	0.485997	0.457746	0.527672	0.396508	0.536121	0.377168	0.555219	0.551295	0.519534	0.340807	0.301915	0.725224	0.787561	0.427936	0.624335	0.417739	0.604487	0.662894	0.614551	0.504733	0.313786	0.643146	0.528181	0.731186	0.536665	0.829745	0.47552	0.600788	0.509408	0.586308	0.36928	0.992754	1.06382	0.518876	0.485789	0.547853	0.452506	0.384444	0.629692	0.85726	0.330769	0.412295	0.683222	0.2264	0.512451	0.673464	0.607915	0.933414	0.551795	0.344947	0.394001	1.20248	0.455674	0.604535	0.504484	0.519003	0.460935	0.849558	0.72484	0.701193	0.711865	0.565582	0.517826	0.573614	0.556005	0.8276	0.422651	0.613088	0.560284	0.62327	0.651757	0.593191	0.624074	0.381422	0.64252	0.557924	0.526313	0.34546	0.557566	0.983625	0.607762	0.448245	0.615046	0.76298	0.453034	0.920996	1.29856	0.509208	0.866051	0.496192	0.44447	0.5830793	0.04246182	0.0499591	0.0499591	0.0499591	0.0499591	0.04995906	0.0449696	0.0800947	0.124648	0.222008	0.09991811	0.6940192
100	-15926.5	-15976.5	50.0457	0.017866	0.0528977	0.0224538	0.0207779	0.0226887	0.0173683	0.0330773	0.0225302	0.0145398	0.00244597	0.029705	0.0183904	0.0253917	0.0255814	0.0216735	0.0138072	0.01531	0.0248634	0.0193001	0.0187399	0.0182567	0.0163888	0.0368786	0.0204777	0.0215927	0.0122674	0.0171048	0.0294596	0.0199697	0.0260639	0.0156781	0.0140259	0.0190283	0.0227922	0.0150153	0.019166	0.0195444	0.0235307	0.0262594	0.0110879	0.0201104	0.0271476	0.0143391	0.014868	0.0145386	0.023138	0.0278719	0.0178864	0.0172722	0.0259775	0.0283762	0.0272186	0.0189148	0.0306661	0.0234667	0.0139055	0.0149584	0.0190108	0.0255583	0.037498	0.0166426	0.0224448	0.0177483	0.0349218	0.0328782	0.0345339	0.0114988	0.0373188	0.0184634	0.0115719	0.0105817	0.00768238	0.0104091	0.0281528	0.0522394	0.0471705	0.0201642	0.0155342	0.0119616	0.00349104	0.0229891	0.0360691	0.0274069	0.0348405	0.0327968	0.0196985	0.016685	0.0170167	0.0149487	0.00368248	0.0436265	0.0206697	0.0414739	0.0476192	0.00870466	0.0136526	0.0134198	0.0131269	0.02137569	0.175234	0.637003	0.637003	0.637003	0.637003	0.637003	0.0248001	0.084958	0.218245	0.747643	0.1361677	1.480453
200	-15704.5	-15776.2	71.7107	0.0171442	0.0155595	0.0137043	0.020649	0.0108609	0.0127908	0.0220756	0.0279122	0.0138762	0.0117688	0.0189976	0.0152746	0.018515	0.0245537	0.0150765	0.0191829	0.0133681	0.0204163	0.0142365	0.0200594	0.0156195	0.0172933	0.0194603	0.00931509	0.0173725	0.0165447	0.0167336	0.023704	0.014617	0.0234719	0.0172614	0.0182797	0.021152	0.0245741	0.0131158	0.04079	0.0100684	0.0232774	0.0290599	0.0139089	0.0205589	0.0240879	0.0128371	0.0231389	0.0201512	0.0142486	0.0276507	0.0082831	0.027984	0.0262273	0.032097	0.022394	0.0301274	0.0439163	0.031725	0.0141707	0.0135189	0.0136508	0.0383237	0.0224293	0.0122685	0.0210915	0.0203649	0.0401317	0.0287999	0.0333371	0.0162518	0.0166612	0.0149954	0.0153128	0.0227525	0.0245855	0.00820152	0.0257878	0.0559723	0.0295431	0.0056152	0.0200576	0.0104604	0.00227865	0.016962	0.0320467	0.0254733	0.0177899	0.015514	0.0163663	0.0128378	0.0148771	0.0129727	0.00237297	0.0247891	0.0205632	0.0229743	0.0163804	0.0186474	0.0153693	0.0162548	0.00866155	0.01831574	0.07563688	0.0259002	0.0259002	0.0259002	0.0259002	0.02590018	0.0280068	0.0718828	0.148009	0.379883	0.103147	1.133314
300	-15686.3	-15778.3	92.0613	0.0218534	0.0172183	0.0264467	0.0157839	0.016941	0.011461	0.0207635	0.0235649	0.0138714	0.0235158	0.0251682	0.0172553	0.0145146	0.0111365	0.0169423	0.0198405	0.0162822	0.0115589	0.0175973	0.0259159	0.0144419	0.020517	0.0231924	0.00996804	0.0210637	0.0117189	0.0120466	0.0289571	0.0196663	0.0162198	0.01568	0.0143163	0.0114181	0.0268102	0.0209357	0.0231898	0.0101429	0.0180588	0.0227353	0.00851109	0.0150726	0.0232008	0.0259526	0.0170322	0.0154857	0.0228745	0.0215908	0.0106732	0.0207991	0.0155299	0.0251543	0.0184335	0.0145739	0.046824	0.0221684	0.0143829	0.0121754	0.0197373	0.0206231	0.0240196	0.021954	0.0160072	0.0224716	0.0349467	0.028343	0.0168963	0.0126672	0.0143677	0.0159006	0.0169008	0.0115512	0.0164927	0.0148555	0.0182879	0.0487507	0.0277325	0.0057294	0.0171094	0.0164886	0.00197262	0.0181425	0.0243817	0.0232363	0.00993604	0.0271081	0.0178009	0.0261977	0.0111904	0.0191196	0.0028856	0.026139	0.0107504	0.0305096	0.0285585	0.0189713	0.0101221	0.0140581	0.0179171	0.01870178	0.0297768	0.00553227	0.00553227	0.00553227	0.00553227	0.005532274	0.000418989	0.00466789	0.0296004	0.329773	0.01175462	2.898387
400	-15718.5	-15798.6	80.1092	0.0202782	0.0116156	0.0146238	0.0223399	0.0118036	0.0149182	0.0275073	0.0220662	0.0127692	0.0181282	0.0216794	0.0137145	0.018542	0.0140746	0.0178585	0.0178834	0.013678	0.0189484	0.0118589	0.0160603	0.0144705	0.0208943	0.0260907	0.0148611	0.0181217	0.0233701	0.0123328	0.0290192	0.015091	0.0239315	0.0250691	0.015983	0.0124458	0.0272999	0.0207447	0.014569	0.0148911	0.0185983	0.0177033	0.00847756	0.0169968	0.0241576	0.0180034	0.0157864	0.0154388	0.00927015	0.0218322	0.00890401	0.0198224	0.0122928	0.0193969	0.00661841	0.0092813	0.042208	0.0208241	0.0156341	0.0138656	0.0142668	0.0190439	0.0297787	0.0257214	0.0198578	0.0189814	0.0346548	0.031191	0.032655	0.0136359	0.0166831	0.0196368	0.0252202	0.0185615	0.0185096	0.0202568	0.0316964	0.0628749	0.0279396	0.00581202	0.0130016	0.0165696	0.00211403	0.0232915	0.0256558	0.0401636	0.0112955	0.0327479	0.0182982	0.014774	0.0164804	0.0132179	0.0026725	0.0248115	0.0230215	0.0142504	0.0237612	0.0220315	0.00823527	0.0164912	0.0224086	0.01770627	0.01519662	0.000347883	0.000347883	0.000347883	0.000347883	0.0003478833	0.000284293	0.00385393	0.028404	0.385051	0.01046266	3.13432
500	-15683.9	-15783.8	99.9617	0.0242851	0.0218953	0.017241	0.021912	0.0144916	0.0148703	0.0239154	0.0337816	0.0156144	0.0170448	0.0253752	0.0119777	0.0226041	0.0163529	0.0128426	0.0103122	0.0121982	0.0174941	0.0189088	0.0153801	0.0190104	0.0202026	0.0178831	0.012525	0.0167006	0.0199204	0.0120759	0.0288753	0.0148472	0.0178918	0.0178737	0.0158081	0.0153034	0.0161821	0.017618	0.0182121	0.0193355	0.019007	0.0320142	0.0111841	0.0196078	0.0224588	0.0201334	0.0197665	0.01336	0.0156393	0.02434	0.0113469	0.0199694	0.0264705	0.0210031	0.014851	0.0133777	0.0266741	0.0225167	0.0102281	0.00971001	0.0241688	0.0288778	0.0204909	0.0116085	0.0175911	0.0234255	0.0265595	0.0307393	0.0170318	0.0166473	0.0155898	0.0159698	0.0234832	0.0301087	0.0102261	0.0131083	0.0160341	0.0609989	0.0372817	0.0066989	0.0249359	0.0143567	0.00257458	0.0282247	0.022813	0.0260544	0.0114728	0.0383819	0.0326715	0.0228405	0.0210477	0.0171124	0.00276375	0.0239195	0.0238589	0.0169266	0.031331	0.0167805	0.0137697	0.0209976	0.0217795	0.01988359	0.08524535	4.16427e-05	4.16427e-05	4.16427e-05	4.16427e-05	4.164274e-05	0.00228708	0.0149843	0.0632628	0.41448	0.03078876	2.260074
600	-15703	-15787.8	84.7739	0.012313	0.0137595	0.00977655	0.0181392	0.0150056	0.0107989	0.0243674	0.024733	0.011782	0.0225356	0.0240012	0.0161897	0.0157897	0.0149253	0.0241329	0.0231093	0.0162617	0.0246565	0.0128216	0.0212804	0.0129768	0.0195677	0.0247487	0.0170292	0.0226611	0.0130988	0.0197104	0.0278994	0.0131964	0.0256898	0.0176326	0.0167892	0.0178983	0.0224541	0.0122348	0.0216095	0.0162571	0.0196834	0.020372	0.0116599	0.0192986	0.0285748	0.0198281	0.0181531	0.0185249	0.0159888	0.0207253	0.0092818	0.0201454	0.0180648	0.0297896	0.0175757	0.0212415	0.0368501	0.0313369	0.0141635	0.0120749	0.0179829	0.0148022	0.0243335	0.0116627	0.0251779	0.0157125	0.0278208	0.0316641	0.0154257	0.0133368	0.0156047	0.0248086	0.0216179	0.0221047	0.0106854	0.0120019	0.023656	0.0445051	0.0255208	0.00642425	0.0146726	0.0130274	0.00183811	0.0184669	0.022604	0.0217943	0.0250227	0.0198241	0.0426854	0.0155012	0.0113597	0.0202517	0.00246667	0.0191856	0.0190856	0.0160108	0.0301214	0.0330967	0.013324	0.0191482	0.0190801	0.01893664	0.1033209	0.347846	0.347846	0.347846	0.347846	0.3478459	0.00248861	0.0157361	0.0646548	0.408829	0.03189698	2.217402
700	-15707.9	-15789.1	81.135	0.0144086	0.0127812	0.010945	0.0160585	0.0157528	0.00941291	0.0185302	0.0350928	0.0156885	0.0125595	0.0179337	0.0176238	0.038359	0.0153543	0.0222131	0.0125339	0.013605	0.0146039	0.0139248	0.00993574	0.0197051	0.0205965	0.0229476	0.0117403	0.0271786	0.0103224	0.0161123	0.0269326	0.0176304	0.0219625	0.0165709	0.0111476	0.0143238	0.0286785	0.00642539	0.0191063	0.0191645	0.0132428	0.0238933	0.0134422	0.0150016	0.0203335	0.0175537	0.0274553	0.0141901	0.0185144	0.0348887	0.0115507	0.0175719	0.0147305	0.0206135	0.0171851	0.0222788	0.0225217	0.0253753	0.0112238	0.0106649	0.0114461	0.0227897	0.0260283	0.0232687	0.0153285	0.0226959	0.0292225	0.0283972	0.0186165	0.0312699	0.0169383	0.0299218	0.021716	0.0225131	0.0216521	0.0146111	0.013848	0.0658705	0.0275584	0.00767356	0.0134483	0.01759	0.00268388	0.0309883	0.0305175	0.0193518	0.0255523	0.0181751	0.0250209	0.00996936	0.0140672	0.0129858	0.00243936	0.0234571	0.0104291	0.01915	0.0346621	0.0161	0.0165246	0.0261356	0.00965187	0.01873837	0.1323435	0.0137312	0.0137312	0.0137312	0.0137312	0.01373124	0.003851	0.020489	0.0737497	0.39238	0.03887232	2.00978
800	-15678.9	-15780.3	101.403	0.0221527	0.0147381	0.0154101	0.0251711	0.0128181	0.0166167	0.0258345	0.0193471	0.0119358	0.0128643	0.0172749	0.00984549	0.0295768	0.00903896	0.0205611	0.0186319	0.0208662	0.0121772	0.0151574	0.0174065	0.015907	0.0158491	0.0240028	0.0114404	0.0208709	0.0161664	0.0174528	0.0221663	0.0127015	0.0235141	0.0182874	0.0149888	0.0149577	0.0149588	0.019262	0.0248411	0.0133117	0.0239751	0.0265742	0.0117037	0.0230625	0.0227557	0.0135381	0.0202366	0.0132858	0.0128287	0.0326272	0.0179101	0.0343028	0.0255447	0.0169721	0.0235827	0.0182208	0.0304024	0.0188282	0.0110418	0.011639	0.0191961	0.0204494	0.037322	0.0211945	0.0172983	0.0164219	0.0215439	0.03264	0.025852	0.0160524	0.0191472	0.0143466	0.0239497	0.0210191	0.010845	0.00935836	0.0191331	0.0507165	0.025181	0.00732814	0.00868215	0.0190679	0.00262791	0.0212617	0.0190495	0.0171874	0.01664	0.0222679	0.0308524	0.00972814	0.0131137	0.0142315	0.00235162	0.0211611	0.0140763	0.0163341	0.0177038	0.0134927	0.0198786	0.0165875	0.0291384	0.01738666	0.04565529	8.91879e-05	8.91879e-05	8.91879e-05	8.91879e-05	8.918792e-05	0.0236722	0.0582701	0.116198	0.286027	0.0822854	1.083055
900	-15681.9	-15776.1	94.1714	0.0171449	0.0147238	0.00817389	0.0141218	0.0132061	0.0156607	0.0115824	0.0229075	0.0147498	0.0170936	0.0180109	0.0163841	0.0162721	0.0196038	0.0224838	0.0145136	0.0143996	0.0160049	0.00884129	0.0226543	0.00792931	0.0249038	0.0230028	0.0102658	0.018696	0.0101306	0.0178628	0.027865	0.0168877	0.0225769	0.0184444	0.0161926	0.0137405	0.0187678	0.014896	0.0191806	0.0130297	0.0148831	0.0206533	0.0112058	0.0175945	0.0229697	0.0218393	0.0165811	0.0160598	0.0218655	0.0207931	0.010418	0.0208997	0.0140831	0.027626	0.0146482	0.0217735	0.0370054	0.0195591	0.0127289	0.0117486	0.0239097	0.0168262	0.0175406	0.014569	0.016633	0.0159614	0.0297404	0.0349909	0.0227504	0.0141764	0.0192108	0.0198475	0.0185309	0.027022	0.0159088	0.00850355	0.0156732	0.04877	0.0192032	0.0104122	0.0160764	0.0225571	0.00248507	0.0151477	0.0358286	0.0269283	0.014418	0.0305978	0.0189799	0.0172528	0.0201849	0.0147135	0.00204522	0.0206709	0.0135091	0.0150745	0.026811	0.0181114	0.0188678	0.0153794	0.01363	0.016995	0.011625	0.279633	0.279633	0.279633	0.279633	0.279633	0.194333	0.325335	0.482837	0.808324	0.3963379	0.6195476
