Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	0	-51999	-51755.3	-243.751	0.565425	0.825222	1.02082	0.773484	1.32059	0.808065	0.59281	0.623774	0.583595	0.703216	0.558543	0.889188	0.44087	0.72123	0.557187	0.495756	0.777474	0.627054	0.633768	0.686208	0.505829	0.560799	0.678898	0.742052	0.613268	0.743864	0.812507	0.816426	0.607013	0.562268	0.797239	1.14636	0.548215	0.480324	0.71161	0.464776	0.588751	0.56234	1.05924	0.673453	0.708814	0.476273	0.546166	0.825083	0.724894	0.50229	0.475886	0.626832	0.647058	0.595876	0.559411	0.679418	0.923566	0.387385	0.456959	0.635044	0.711018	0.557223	0.657248	0.481029	1.13397	0.45094	1.04349	0.781615	0.358092	0.589984	0.389942	0.481911	0.442632	0.64372	0.563032	0.648193	0.611366	0.96483	0.570669	0.55196	0.277685	0.732434	0.724549	0.457305	0.531688	0.884523	0.782638	0.512509	0.739409	0.751303	0.488852	0.664414	0.621042	0.602532	0.757306	0.740389	0.580268	0.610816	0.573632	0.704975	1.38742	0.599022	0.6722718	0.1694134	0.0441829	0.0441829	0.0441829	0.0441829	0.04418292	0.032044	0.0667203	0.117034	0.243681	0.08836584	0.8817983
1	1	-58619	-58243.4	-375.658	1.13491	1.89439	3.16203	2.15274	1.97683	1.91827	2.26695	1.21024	3.7497	2.32847	1.45141	2.61782	2.06469	2.1355	2.10148	1.56492	1.84863	3.2244	2.25606	4.31188	2.56338	2.958	2.16206	3.16375	3.29286	2.76688	1.24697	2.53519	3.29923	2.51324	1.49784	2.16534	1.21955	1.7567	2.69421	2.33246	2.77789	3.33358	3.33393	2.31763	2.80336	2.55408	3.52389	1.63574	2.83426	1.76468	2.12822	2.52227	3.76356	1.89633	2.13145	2.17237	1.90701	1.66254	2.41927	1.48789	2.8795	1.70229	2.39458	1.96073	2.64959	1.75938	1.54548	2.53528	1.97987	3.02483	3.37497	1.62023	1.87323	2.43679	2.49389	2.17167	1.37211	2.1473	2.6052	2.24145	1.65181	1.79541	2.12322	1.08848	1.90278	2.20442	1.79506	1.20903	2.26701	2.93063	3.10695	2.85687	1.43345	1.84667	3.4602	3.02455	1.88992	1.88477	1.46153	1.39298	3.27113	2.4257	2.321498	0.1080462	0.0441829	0.0441829	0.0441829	0.0441829	0.04418292	0.0801029	0.0859953	0.0908018	0.0974811	0.08836584	0.08534191
2	0	-15832.9	-15837	4.08093	0.0309187	0.0341284	0.0190692	0.0616099	0.0322594	0.0667715	0.0117466	0.0246463	0.0192756	0.0177036	0.0305036	0.0314575	0.0132375	0.0198494	0.0134136	0.0192741	0.0220647	0.0209558	0.0195903	0.011033	0.0147362	0.0116432	0.0220308	0.0209645	0.0232779	0.0103498	0.0130268	0.0272515	0.0245154	0.0363282	0.0226856	0.0217413	0.0549873	0.0209462	0.0309273	0.0169663	0.0175294	0.0257281	0.0167596	0.031285	0.0245519	0.0382574	0.0267041	0.0193568	0.0193078	0.0292352	0.0254115	0.0339975	0.0314734	0.0288685	0.0528665	0.020062	0.00546037	0.0226098	0.0180741	0.0282552	0.0173926	0.0204633	0.0292245	0.0310398	0.0181561	0.0254201	0.0860582	0.00695403	0.0281015	0.0376931	0.00692198	0.0101403	0.0193858	0.0149366	0.0112287	0.0413371	0.0289254	0.0500016	0.0237197	0.0302882	0.0315204	0.0336862	0.016212	0.0206279	0.0435189	0.0126701	0.0249719	0.00568747	0.0334767	0.0125861	0.0274014	0.0514214	0.014698	0.00292018	0.0331791	0.0262248	0.0416943	0.0234555	0.0340518	0.0542991	0.0317043	0.00298732	0.02432207	0.1745026	0.583201	0.583201	0.583201	0.583201	0.5832006	0.167493	0.270896	0.391558	0.63329	0.3256863	0.5780803
3	1	-15821.3	-15795	-26.2275	0.0419872	0.0378784	0.0282224	0.0751373	0.0588847	0.0638422	0.0386877	0.0342102	0.0810829	0.0423407	0.087776	0.0396081	0.0486138	0.0417994	0.085301	0.0496631	0.03804	0.0435922	0.0380176	0.0335893	0.0452332	0.0422724	0.0505296	0.0287361	0.0511371	0.037068	0.058577	0.123822	0.0297342	0.0548675	0.0489726	0.0867969	0.0928119	0.0738896	0.0434257	0.0598633	0.0415108	0.0524081	0.0226371	0.0435136	0.0565051	0.0556438	0.076831	0.0653395	0.0222146	0.050627	0.0379021	0.0256442	0.0558206	0.0559177	0.0453933	0.0386777	0.0558408	0.00371581	0.0441342	0.0371071	0.0938755	0.0756	0.0495233	0.0515629	0.0473869	0.0551353	0.0562558	0.0815661	0.0325687	0.0125475	0.0439305	0.01832	0.0332879	0.0444863	0.0466066	0.0356004	0.0373226	0.0567456	0.0677741	0.0330529	0.0570359	0.0171193	0.0655768	0.0955302	0.0628057	0.0650787	0.0249801	0.0435184	0.0261756	0.0169796	0.00342098	0.0818092	0.0465287	0.17634	0.0616052	0.126632	0.0317939	0.035887	0.0397055	0.0567769	0.0169198	0.0598541	0.04868117	0.152624	1.82026	1.82026	1.82026	1.82026	1.82026	0.039897	0.156441	0.445693	1.74761	0.264054	1.642851
4	0	-15752.5	-15811.4	58.9345	0.0342943	0.02117	0.0255426	0.0464429	0.0298564	0.0432122	0.0151907	0.017736	0.0127613	0.0191908	0.033029	0.0254846	0.0329397	0.0188692	0.0232144	0.017707	0.0173743	0.0267655	0.0182464	0.0286084	0.0159735	0.0128185	0.0171987	0.0375647	0.0346402	0.0157415	0.0173124	0.0291915	0.0170099	0.0275512	0.0270136	0.0129481	0.0404674	0.0267445	0.00908354	0.0235499	0.0220493	0.0267512	0.0146313	0.0232165	0.0297053	0.0264064	0.0231949	0.015522	0.0219388	0.0350342	0.016607	0.0356813	0.0190331	0.0264491	0.0581409	0.017605	0.0049612	0.0187276	0.0266842	0.0213274	0.0171266	0.0246022	0.0216208	0.0248566	0.0146882	0.024226	0.0536315	0.0222509	0.0176101	0.0262509	0.00736097	0.0241927	0.0266598	0.0223756	0.0150388	0.0368839	0.0365999	0.0309341	0.028286	0.0357283	0.0241877	0.0147763	0.0199881	0.0160149	0.0416905	0.012103	0.0163888	0.0448224	0.0175656	0.0125565	0.0216003	0.0309513	0.0149902	0.00332354	0.0193523	0.0279097	0.0372974	0.0283409	0.0242571	0.0398613	0.0249796	0.00330919	0.02357513	0.180389	0.712841	0.712841	0.712841	0.712841	0.7128411	0.598305	0.655071	0.702185	0.768807	0.6782195	0.1089839
5	1	-15533.3	-15567.1	33.8213	0.060795	0.0287596	0.0347127	0.0819226	0.0504492	0.0942048	0.0385402	0.0533503	0.0306706	0.0345058	0.0817667	0.0379615	0.0338657	0.0413948	0.029048	0.0250836	0.0633731	0.0654186	0.0341793	0.0559996	0.0288272	0.0295424	0.0302364	0.0446177	0.0348227	0.0308125	0.0511659	0.0621689	0.0354088	0.0487605	0.0291029	0.034123	0.068405	0.0631476	0.0406049	0.0344227	0.0510509	0.0500945	0.0374942	0.0511298	0.0329115	0.038607	0.059472	0.0398086	0.0435802	0.0318184	0.0245378	0.0344725	0.0342453	0.0412517	0.060592	0.0402499	0.0681391	0.00361524	0.0470799	0.0328189	0.0880323	0.0442922	0.0376422	0.0352093	0.0494442	0.0383597	0.0605564	0.0434901	0.0298486	0.0289261	0.0561974	0.0488192	0.0378703	0.0395581	0.0429217	0.0252226	0.0286938	0.0415873	0.0531547	0.0719968	0.0517205	0.0321897	0.0627808	0.0317597	0.0499782	0.0783253	0.0319357	0.028497	0.0481076	0.0252693	0.00344894	0.0666664	0.0403654	0.0885069	0.0467143	0.0346473	0.0510024	0.0218911	0.0429125	0.0513816	0.0483152	0.0448643	0.04102359	0.1748725	1.75794	1.75794	1.75794	1.75794	1.757939	0.0311876	0.136958	0.425566	1.86883	0.2414217	1.779046
6	0	-15720.6	-15798.1	77.5398	0.0325522	0.012547	0.0296537	0.0403049	0.0236329	0.0401228	0.0129286	0.0201059	0.0158097	0.0155899	0.0219499	0.0237867	0.0124581	0.020368	0.0219153	0.0125907	0.0174456	0.0227537	0.0170429	0.0144948	0.0176902	0.0241125	0.0139873	0.0161334	0.021704	0.0140297	0.0207791	0.0307275	0.0178974	0.0309378	0.0160117	0.0196391	0.0300157	0.0266532	0.0163999	0.0108389	0.00968637	0.0160535	0.0131014	0.0205372	0.0155794	0.0226419	0.0328984	0.0097821	0.0240462	0.0365354	0.0155987	0.0300915	0.0136336	0.0155095	0.0324402	0.0264142	0.0046165	0.024421	0.0236258	0.0264062	0.0226391	0.012795	0.0195545	0.0232705	0.0157443	0.0108413	0.0516497	0.0150867	0.0198027	0.0201842	0.00613362	0.0176009	0.0224678	0.0138761	0.0178336	0.0213015	0.0186378	0.030851	0.0316937	0.0169457	0.0200193	0.018531	0.018483	0.0157165	0.0313783	0.00781911	0.0184493	0.0138732	0.027072	0.0294635	0.0137687	0.0221481	0.0198141	0.00252757	0.013774	0.0211207	0.0343339	0.0195025	0.021669	0.0173664	0.0235479	0.00289461	0.01995414	0.06869835	0.867502	0.867502	0.867502	0.867502	0.8675022	0.249271	0.400589	0.576185	0.925953	0.4804302	0.5703844
7	1	-15534.3	-15559.7	25.4056	0.0796003	0.0227059	0.0544126	0.0487344	0.0318845	0.0470958	0.0189692	0.0302887	0.0257917	0.074733	0.0576481	0.0355054	0.0337707	0.0563755	0.0295289	0.0349352	0.0435406	0.0231004	0.0321754	0.0431852	0.0485728	0.0422801	0.0316772	0.0340571	0.0393223	0.0270582	0.054812	0.0612532	0.0363777	0.0424571	0.019215	0.0617507	0.0819786	0.0448992	0.0266406	0.0407843	0.0185686	0.0288781	0.0217581	0.0263049	0.040286	0.0337296	0.0596191	0.0492509	0.0323037	0.0355029	0.0272626	0.0297637	0.0442707	0.0581995	0.047419	0.0404324	0.0738257	0.00333726	0.0338656	0.0319827	0.109327	0.0279088	0.0314639	0.041721	0.0428715	0.0282427	0.0352759	0.0332505	0.0575289	0.0330951	0.0437638	0.03426	0.0229081	0.0439667	0.0563985	0.0285864	0.0372732	0.0343012	0.0380594	0.0338468	0.0452115	0.0620032	0.0613444	0.02672	0.0451316	0.0638358	0.0248541	0.0244925	0.0405747	0.0180919	0.00310328	0.0480141	0.0268472	0.0725871	0.0570092	0.0202082	0.0509692	0.0208753	0.0415827	0.0667404	0.040897	0.052901	0.03931823	0.1658177	1.63432	1.63432	1.63432	1.63432	1.634317	0.0966013	0.269422	0.59122	1.64892	0.3991084	1.233226
8	0	-15623.1	-15730.6	107.522	0.0196807	0.0186075	0.00963969	0.0319576	0.0199728	0.0426305	0.0150625	0.0109621	0.0321606	0.0215548	0.0226017	0.0192031	0.0133451	0.0204708	0.0162719	0.0111482	0.0147149	0.0182132	0.0137147	0.019091	0.0297621	0.0199227	0.0190559	0.0224943	0.0187728	0.0170806	0.0279906	0.0236516	0.013249	0.0155197	0.0148086	0.0139495	0.0408587	0.0218447	0.0170892	0.00976411	0.0335064	0.0109051	0.022265	0.0224233	0.0171308	0.0218728	0.02003	0.0185076	0.00965601	0.0328229	0.0162658	0.0257709	0.01753	0.0207407	0.0228597	0.0122667	0.00362516	0.0145094	0.0158582	0.0172136	0.0194133	0.0148943	0.00992499	0.017343	0.0211158	0.0220489	0.0275443	0.0220192	0.0132732	0.0212168	0.0157554	0.0122757	0.0197895	0.0258948	0.0236821	0.0157223	0.0133442	0.0234696	0.0359531	0.0142724	0.015899	0.00848202	0.0133887	0.0169367	0.025881	0.0128961	0.0186774	0.014049	0.0104912	0.0137702	0.0171595	0.0243571	0.0340988	0.00386879	0.0129585	0.0254898	0.03211	0.0147029	0.0180231	0.014837	0.020069	0.00551448	0.01831861	0.1622367	0.805817	0.805817	0.805817	0.805817	0.8058173	0.633872	0.72738	0.808261	0.927495	0.7667549	0.1654457
9	1	-15506.1	-15555.2	49.0679	0.0450504	0.0289468	0.0315012	0.0569338	0.0367898	0.0524634	0.0284869	0.0380877	0.0503991	0.0394488	0.0316612	0.0300569	0.0231586	0.0449139	0.0308357	0.0275268	0.0332435	0.036107	0.0330001	0.020824	0.0370769	0.0277761	0.0325865	0.0334615	0.0282678	0.0354054	0.0467757	0.0514451	0.0230006	0.0444718	0.0537748	0.0470329	0.0705579	0.0330877	0.0240287	0.0293423	0.0264261	0.0319129	0.0395581	0.0471458	0.0266731	0.0341664	0.0468751	0.0274284	0.0347453	0.0312249	0.0222339	0.0287074	0.0409751	0.0536478	0.0366062	0.0183882	0.0595905	0.00359695	0.0176302	0.036234	0.100181	0.0383189	0.038532	0.0327161	0.0226063	0.0243481	0.044266	0.0381317	0.0587261	0.0299582	0.0466347	0.0363658	0.0453333	0.0659777	0.0524698	0.0259421	0.0504488	0.0294427	0.0433661	0.031842	0.0301108	0.0210519	0.0471818	0.0305581	0.041826	0.0555778	0.0240518	0.0316882	0.0595006	0.0197569	0.00299617	0.0296597	0.0274847	0.0579452	0.0266361	0.0279233	0.0329746	0.0316358	0.0365289	0.0409307	0.0462464	0.0554478	0.03466064	0.1543519	0.832637	0.832637	0.832637	0.832637	0.8326365	0.176899	0.332497	0.53924	1.01355	0.4234337	0.7587405
