/ufrc/burleigh/nhans/GitHubNH/revBB
c23a-s39.ufhpc
Fri May 31 01:43:10 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbd_1_.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 2 different moves in a random move schedule with 6 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -2209.18   |       -2200.79   |       -8.38339   |       34.46597   |       30.04805   |   00:00:00   |   --:--:--   |
100         |       -327.891   |       -283.438   |       -44.4531   |      0.4397419   |      0.3371628   |   00:00:00   |   --:--:--   |
200         |        -327.99   |        -282.82   |       -45.1695   |      0.3666464   |      0.2413782   |   00:00:00   |   00:00:00   |
300         |       -328.363   |       -274.033   |       -54.3301   |      0.2909488   |      0.2272124   |   00:00:00   |   00:00:00   |
400         |       -327.079   |       -274.983   |       -52.0958   |      0.2948643   |      0.2168303   |   00:00:00   |   00:00:00   |
500         |       -327.184   |       -277.462   |       -49.7224   |      0.3537775   |       0.275528   |   00:00:00   |   00:00:00   |
600         |       -327.446   |       -273.908   |       -53.5377   |      0.2721305   |      0.1966897   |   00:00:00   |   00:00:00   |
700         |       -326.637   |        -278.42   |       -48.2164   |      0.3406106   |      0.2441922   |   00:00:00   |   00:00:00   |
800         |       -327.317   |       -274.348   |       -52.9684   |       0.254499   |       0.161765   |   00:00:00   |   00:00:00   |
900         |       -330.202   |        -284.01   |       -46.1922   |      0.5213611   |      0.4470886   |   00:00:00   |   00:00:00   |
1000        |       -327.311   |        -281.41   |       -45.9004   |      0.4070124   |      0.3100666   |   00:00:00   |   00:00:00   |
1100        |       -331.129   |       -290.422   |       -40.7072   |      0.5844006   |      0.4738472   |   00:00:00   |   00:00:00   |
1200        |       -327.581   |       -282.741   |       -44.8401   |       0.417667   |      0.3126519   |   00:00:00   |   00:00:00   |
1300        |       -326.763   |       -279.414   |       -47.3485   |       0.358253   |      0.2596948   |   00:00:00   |   00:00:00   |
1400        |       -326.757   |       -278.048   |       -48.7092   |      0.3491373   |       0.261057   |   00:00:00   |   00:00:00   |
1500        |       -326.714   |       -278.877   |       -47.8372   |      0.3540227   |      0.2590896   |   00:00:00   |   00:00:00   |
1600        |       -326.613   |       -277.671   |       -48.9418   |      0.3191221   |      0.2204382   |   00:00:00   |   00:00:00   |
1700        |       -327.049   |       -276.739   |       -50.3102   |      0.3360248   |      0.2574245   |   00:00:00   |   00:00:00   |
1800        |       -328.549   |       -275.287   |       -53.2623   |       0.325145   |      0.2630709   |   00:00:00   |   00:00:00   |
1900        |        -327.34   |       -281.512   |       -45.8281   |      0.3649304   |      0.2497332   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
2000        |       -326.636   |       -276.271   |       -50.3649   |      0.3014743   |      0.2098198   |   00:00:00   |   00:00:00   |
2100        |       -327.119   |       -274.297   |       -52.8221   |      0.2710745   |      0.1886738   |   00:00:00   |   00:00:00   |
2200        |       -327.026   |       -278.194   |        -48.832   |      0.3053516   |      0.1950222   |   00:00:00   |   00:00:00   |
2300        |       -326.699   |       -277.985   |       -48.7138   |      0.3171889   |      0.2143148   |   00:00:00   |   00:00:00   |
2400        |       -328.057   |       -283.046   |       -45.0116   |      0.3697769   |      0.2439078   |   00:00:00   |   00:00:00   |
2500        |       -328.424   |       -284.829   |        -43.595   |      0.4108101   |      0.2860338   |   00:00:00   |   00:00:00   |
2600        |       -330.002   |       -271.817   |       -58.1851   |      0.1974189   |      0.1108156   |   00:00:00   |   00:00:00   |
2700        |       -327.414   |       -277.308   |       -50.1054   |      0.2817903   |       0.169425   |   00:00:00   |   00:00:00   |
2800        |       -327.231   |       -281.232   |       -45.9993   |      0.3640103   |      0.2508646   |   00:00:00   |   00:00:00   |
2900        |       -327.147   |       -277.667   |       -49.4799   |      0.2934533   |      0.1828676   |   00:00:00   |   00:00:00   |
3000        |       -326.905   |        -274.92   |       -51.9854   |      0.2828682   |      0.1984678   |   00:00:00   |   00:00:00   |
3100        |       -327.021   |       -280.792   |       -46.2298   |      0.3738744   |       0.268762   |   00:00:00   |   00:00:00   |
3200        |        -326.93   |       -274.817   |       -52.1134   |      0.2799157   |      0.1952354   |   00:00:00   |   00:00:00   |
3300        |       -327.216   |       -275.265   |       -51.9507   |      0.3062171   |       0.231048   |   00:00:00   |   00:00:00   |
3400        |       -327.582   |       -282.403   |       -45.1785   |      0.4237078   |      0.3242292   |   00:00:00   |   00:00:00   |
3500        |       -327.276   |       -278.784   |       -48.4917   |      0.3069679   |      0.1918193   |   00:00:00   |   00:00:00   |
3600        |       -330.436   |       -282.939   |       -47.4971   |      0.5067589   |      0.4386312   |   00:00:00   |   00:00:00   |
3700        |       -327.104   |       -276.997   |       -50.1068   |      0.2854851   |       0.177922   |   00:00:00   |   00:00:00   |
3800        |       -326.584   |       -277.468   |       -49.1162   |      0.3231434   |      0.2286502   |   00:00:00   |   00:00:00   |
3900        |       -326.902   |       -279.616   |       -47.2853   |      0.3399962   |      0.2314022   |   00:00:00   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
4000        |       -326.858   |       -277.475   |        -49.383   |      0.3442935   |      0.2606313   |   00:00:00   |   00:00:00   |
4100        |       -326.886   |       -279.316   |       -47.5699   |      0.3334507   |      0.2248416   |   00:00:00   |   00:00:00   |
4200        |       -328.606   |       -281.379   |       -47.2267   |      0.4502041   |      0.3733085   |   00:00:00   |   00:00:00   |
4300        |       -327.767   |       -283.364   |       -44.4032   |      0.4246121   |       0.316822   |   00:00:00   |   00:00:00   |
4400        |        -327.32   |       -280.902   |       -46.4184   |      0.3481939   |      0.2315134   |   00:00:01   |   00:00:01   |
4500        |       -326.998   |       -280.677   |       -46.3202   |      0.3770439   |      0.2743512   |   00:00:01   |   00:00:01   |
4600        |       -326.693   |       -277.308   |       -49.3845   |      0.3336533   |      0.2463777   |   00:00:01   |   00:00:01   |
4700        |       -328.515   |       -285.413   |       -43.1026   |      0.4388109   |      0.3193851   |   00:00:01   |   00:00:01   |
4800        |       -327.303   |       -274.011   |       -53.2916   |      0.2554232   |      0.1678671   |   00:00:01   |   00:00:01   |
4900        |       -328.914   |       -281.907   |        -47.007   |      0.4644994   |      0.3882639   |   00:00:01   |   00:00:01   |
5000        |       -327.146   |       -279.836   |       -47.3096   |      0.3892707   |      0.3006497   |   00:00:01   |   00:00:01   |
5100        |       -327.004   |       -279.708   |       -47.2958   |      0.3812118   |      0.2901758   |   00:00:01   |   00:00:00   |
5200        |       -327.244   |       -277.017   |       -50.2271   |      0.2820161   |      0.1726336   |   00:00:01   |   00:00:00   |
5300        |       -327.814   |       -282.739   |       -45.0756   |      0.3736122   |      0.2516146   |   00:00:01   |   00:00:00   |
5400        |       -326.954   |       -280.481   |       -46.4727   |        0.36823   |      0.2636291   |   00:00:01   |   00:00:00   |
5500        |        -326.98   |       -274.663   |       -52.3172   |      0.2724875   |      0.1856272   |   00:00:01   |   00:00:00   |
5600        |       -330.324   |        -286.77   |       -43.5533   |      0.5574386   |      0.4690194   |   00:00:01   |   00:00:00   |
5700        |       -328.137   |       -283.772   |       -44.3646   |      0.3887141   |      0.2641536   |   00:00:01   |   00:00:00   |
5800        |       -326.902   |       -275.875   |       -51.0277   |      0.2789853   |      0.1803951   |   00:00:01   |   00:00:00   |
5900        |       -327.154   |       -277.469   |       -49.6842   |      0.3531748   |      0.2744799   |   00:00:01   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
6000        |         -326.6   |       -276.943   |       -49.6577   |      0.3096757   |      0.2143804   |   00:00:01   |   00:00:00   |
6100        |       -327.211   |       -276.368   |       -50.8424   |      0.3320316   |      0.2563229   |   00:00:01   |   00:00:00   |
6200        |       -328.129   |       -278.342   |       -49.7876   |      0.3881829   |      0.3176697   |   00:00:01   |   00:00:00   |
6300        |       -328.009   |       -283.924   |       -44.0848   |      0.4424303   |      0.3365837   |   00:00:01   |   00:00:00   |
6400        |        -327.09   |       -275.337   |       -51.7529   |      0.2676816   |      0.1695868   |   00:00:01   |   00:00:00   |
6500        |       -328.138   |       -274.689   |       -53.4493   |      0.2403555   |      0.1360136   |   00:00:01   |   00:00:00   |
6600        |       -329.525   |       -271.683   |       -57.8424   |       0.222524   |      0.1570456   |   00:00:01   |   00:00:00   |
6700        |       -326.866   |       -275.064   |       -51.8025   |      0.2856516   |      0.2008639   |   00:00:01   |   00:00:00   |
6800        |       -327.033   |       -277.524   |        -49.509   |      0.2948414   |      0.1863037   |   00:00:01   |   00:00:00   |
6900        |       -327.112   |       -279.036   |       -48.0767   |      0.3168097   |      0.2036001   |   00:00:01   |   00:00:00   |
7000        |       -329.787   |       -287.986   |       -41.8012   |      0.5251294   |      0.4148082   |   00:00:01   |   00:00:00   |
7100        |       -328.585   |       -285.385   |       -43.2003   |      0.4706774   |      0.3628064   |   00:00:01   |   00:00:00   |
7200        |       -329.375   |       -278.581   |       -50.7936   |      0.2664402   |      0.1359328   |   00:00:01   |   00:00:00   |
7300        |       -326.769   |       -276.316   |        -50.453   |      0.3173152   |      0.2337151   |   00:00:01   |   00:00:00   |
7400        |       -327.882   |       -275.714   |       -52.1681   |      0.2543296   |      0.1454013   |   00:00:01   |   00:00:00   |
7500        |        -327.92   |       -283.787   |       -44.1331   |        0.43355   |      0.3255163   |   00:00:01   |   00:00:00   |
7600        |       -327.445   |       -273.905   |       -53.5398   |      0.2494734   |      0.1599925   |   00:00:01   |   00:00:00   |
7700        |       -327.274   |       -274.556   |       -52.7183   |      0.2882482   |      0.2127249   |   00:00:01   |   00:00:00   |
7800        |        -327.11   |       -279.336   |       -47.7736   |      0.3820282   |      0.2955092   |   00:00:01   |   00:00:00   |
7900        |       -326.905   |       -277.143   |       -49.7618   |      0.3398472   |      0.2579892   |   00:00:01   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
8000        |       -327.214   |       -281.283   |       -45.9308   |      0.3991929   |      0.3001466   |   00:00:01   |   00:00:00   |
8100        |       -326.958   |       -278.949   |       -48.0094   |      0.3215563   |       0.211213   |   00:00:01   |   00:00:00   |
8200        |       -326.907   |       -277.735   |       -49.1718   |      0.3024073   |      0.1952308   |   00:00:01   |   00:00:00   |
8300        |       -326.797   |       -279.637   |       -47.1604   |      0.3614423   |      0.2620796   |   00:00:01   |   00:00:00   |
8400        |       -327.172   |        -279.07   |       -48.1024   |      0.3806218   |      0.2964977   |   00:00:01   |   00:00:00   |
8500        |       -326.751   |       -278.407   |       -48.3447   |      0.3219275   |      0.2169817   |   00:00:01   |   00:00:00   |
8600        |       -326.765   |       -279.059   |       -47.7061   |      0.3363134   |      0.2314217   |   00:00:01   |   00:00:00   |
8700        |         -327.4   |       -278.414   |       -48.9869   |       0.376265   |      0.2979703   |   00:00:01   |   00:00:00   |
8800        |       -326.996   |       -276.226   |       -50.7702   |      0.3235645   |      0.2448045   |   00:00:01   |   00:00:00   |
8900        |       -327.409   |        -277.21   |       -50.1988   |       0.280622   |      0.1686873   |   00:00:01   |   00:00:00   |
9000        |       -327.131   |       -278.572   |       -48.5586   |      0.3718088   |      0.2891367   |   00:00:01   |   00:00:00   |
9100        |       -328.019   |       -283.316   |       -44.7036   |      0.3801951   |      0.2560765   |   00:00:01   |   00:00:00   |
9200        |       -328.681   |       -282.077   |       -46.6039   |      0.3277946   |      0.1936631   |   00:00:01   |   00:00:00   |
9300        |       -327.364   |       -274.056   |       -53.3076   |      0.2747192   |      0.1984988   |   00:00:01   |   00:00:00   |
9400        |       -326.979   |       -280.373   |       -46.6058   |      0.3811176   |      0.2831542   |   00:00:01   |   00:00:00   |
9500        |       -328.426   |       -281.363   |       -47.0629   |       0.446219   |      0.3675603   |   00:00:01   |   00:00:00   |
9600        |       -329.065   |       -285.568   |       -43.4963   |      0.5033944   |       0.405927   |   00:00:01   |   00:00:00   |
9700        |       -326.938   |        -274.81   |       -52.1284   |      0.2741941   |      0.1863012   |   00:00:01   |   00:00:00   |
9800        |       -328.834   |       -286.104   |       -42.7298   |      0.4408858   |      0.3168739   |   00:00:01   |   00:00:00   |
9900        |       -326.947   |       -274.753   |       -52.1946   |      0.2750636   |       0.188451   |   00:00:01   |   00:00:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     birth_rate   |     death_rate   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
10000       |       -327.507   |       -273.569   |       -53.9377   |      0.2492216   |      0.1645616   |   00:00:01   |   00:00:00   |
   Processing file "0_scripts/ss-marginal.Rev"

Running burn-in phase of Power Posterior sampler for 500 iterations.
The simulator uses 2 different moves in a random move schedule with 6 moves per iteration


Progress:
0---------------25---------------50---------------75--------------100
********************************************************************


Running power posterior analysis ...
Step  1 / 31		****************************************
Step  2 / 31		****************************************
Step  3 / 31		****************************************
Step  4 / 31		****************************************
Step  5 / 31		****************************************
Step  6 / 31		****************************************
