/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 04:01:08 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdshifttree.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -271.897   |       -274.048   |        2.15036   |      0.1516567   |     0.04902169   |     0.09804339   |   00:00:00   |   --:--:--   |
100         |       -270.462   |       -273.195   |         2.7331   |     0.09530336   |     0.05098668   |      0.1200777   |   00:00:04   |   --:--:--   |
200         |       -271.183   |       -273.667   |        2.48332   |    0.001904955   |     0.07366817   |      0.1128935   |   00:00:08   |   00:13:12   |
300         |       -264.385   |       -273.856   |        9.47101   |      0.1565519   |   9.961301e-05   |     0.08402953   |   00:00:11   |   00:12:02   |
400         |       -263.615   |       -273.572   |        9.95697   |     0.05347482   |   3.203284e-05   |      0.0996026   |   00:00:15   |   00:12:15   |
500         |        -261.63   |       -273.708   |        12.0775   |     0.01106345   |   4.181222e-06   |     0.05571744   |   00:00:18   |   00:11:42   |
600         |        -264.87   |       -275.394   |        10.5239   |      0.1663231   |   9.619807e-06   |     0.05244706   |   00:00:22   |   00:11:51   |
700         |       -255.809   |       -269.239   |        13.4303   |      0.1766179   |   1.279735e-06   |      0.1189167   |   00:00:26   |   00:11:56   |
800         |       -261.809   |       -273.065   |        11.2555   |     0.06403577   |   1.140832e-05   |     0.09027841   |   00:00:29   |   00:11:36   |
900         |       -266.201   |        -273.88   |        7.67873   |      0.1666957   |   0.0002441993   |     0.08738725   |   00:00:32   |   00:11:19   |
1000        |       -262.966   |       -273.357   |        10.3909   |      0.1313344   |   2.561187e-05   |      0.1142864   |   00:00:36   |   00:11:24   |
1100        |       -254.648   |        -268.46   |        13.8121   |       0.180731   |   1.057741e-06   |       0.108104   |   00:00:39   |   00:11:10   |
1200        |       -259.793   |       -272.807   |        13.0148   |      0.1942077   |   3.105124e-06   |     0.09136408   |   00:00:43   |   00:11:13   |
1300        |       -255.788   |       -268.937   |        13.1489   |      0.1929742   |   1.772155e-06   |      0.1281145   |   00:00:47   |   00:11:16   |
1400        |       -256.382   |       -269.221   |         12.839   |      0.1986828   |   2.356018e-06   |      0.1327365   |   00:00:50   |   00:11:04   |
1500        |        -255.07   |       -268.573   |        13.5034   |      0.2029879   |   1.148311e-06   |      0.1378377   |   00:00:53   |   00:10:53   |
