/ufrc/burleigh/nhans/GitHubNH/revBB
c31b-s1.ufhpc
Fri May 31 14:43:21 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -283.642   |       -282.939   |      -0.703123   |      0.0290925   |     0.04902169   |     0.09804339   |   00:00:00   |   --:--:--   |
0           |       -283.642   |       -282.939   |      -0.703123   |      0.0290925   |     0.04902169   |     0.09804339   |   00:00:00   |   --:--:--   |
10          |       -269.871   |        -274.73   |        4.85997   |     0.04992649   |    0.002984371   |     0.04749066   |   00:00:00   |   --:--:--   |
20          |       -266.492   |       -273.799   |         7.3068   |     0.05457338   |   0.0005915154   |     0.08541003   |   00:00:01   |   00:16:39   |
30          |       -266.605   |       -274.602   |         7.9969   |      0.0661846   |   0.0002817171   |      0.1136202   |   00:00:01   |   00:11:05   |
40          |       -271.981   |       -278.061   |        6.08004   |     0.02970108   |   0.0004787159   |      0.1603796   |   00:00:02   |   00:16:38   |
50          |       -263.329   |       -273.762   |        10.4335   |     0.01705473   |   1.774145e-05   |     0.07288085   |   00:00:02   |   00:13:18   |
60          |       -262.355   |       -273.143   |        10.7872   |     0.01837368   |   1.607372e-05   |     0.07151554   |   00:00:02   |   00:11:04   |
70          |       -265.016   |           -275   |        9.98421   |    0.006887639   |   2.580546e-05   |      0.1538413   |   00:00:03   |   00:14:14   |
80          |       -267.085   |       -275.062   |         7.9765   |      0.1750373   |   0.0002156174   |       0.119678   |   00:00:03   |   00:12:27   |
90          |       -266.182   |       -273.362   |        7.17943   |      0.1679853   |    0.000609893   |     0.09485524   |   00:00:03   |   00:11:03   |
100         |       -266.227   |       -274.919   |        8.69257   |     0.08105023   |   0.0001875175   |     0.07030186   |   00:00:04   |   00:13:16   |
100         |       -266.227   |       -274.919   |        8.69257   |     0.08105023   |   0.0001875175   |     0.07030186   |   00:00:04   |   --:--:--   |
110         |       -268.547   |        -276.36   |        7.81364   |      0.1070394   |   0.0001242221   |     0.09693359   |   00:00:04   |   00:12:03   |
120         |       -270.802   |       -278.411   |        7.60882   |      0.1197082   |   0.0001154866   |      0.1006814   |   00:00:05   |   00:13:48   |
130         |       -264.685   |       -274.482   |        9.79734   |     0.01785256   |   5.240785e-05   |     0.05464831   |   00:00:05   |   00:12:44   |
