/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 15:49:23 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -271.845   |       -274.199   |        2.35342   |    0.006758128   |     0.04902169   |     0.09804339   |   00:00:00   |   --:--:--   |
0           |       -271.845   |       -274.199   |        2.35342   |    0.006758128   |     0.04902169   |     0.09804339   |   00:00:00   |   --:--:--   |
10          |       -272.129   |       -274.863   |        2.73334   |    0.005813627   |     0.06399694   |     0.07514283   |   00:00:01   |   --:--:--   |
20          |        -267.86   |       -273.869   |        6.00906   |     0.03323114   |    0.002678141   |     0.09471841   |   00:00:01   |   00:16:39   |
30          |       -266.503   |       -273.758   |        7.25547   |      0.1078368   |   0.0005687681   |     0.08701801   |   00:00:02   |   00:22:11   |
40          |       -266.242   |       -273.494   |        7.25152   |      0.1341522   |    0.000524876   |     0.09322146   |   00:00:02   |   00:16:38   |
50          |       -266.267   |       -275.719   |         9.4524   |      0.1820797   |   0.0001307383   |     0.07101121   |   00:00:02   |   00:13:18   |
60          |       -267.848   |       -274.408   |        6.55995   |      0.1077337   |    0.001079499   |       0.107868   |   00:00:03   |   00:16:37   |
70          |       -264.763   |        -274.12   |        9.35711   |     0.01531244   |   7.982928e-05   |      0.1079645   |   00:00:03   |   00:14:14   |
80          |       -263.976   |        -273.94   |        9.96356   |      0.0217564   |   5.795513e-05   |      0.1030576   |   00:00:04   |   00:16:36   |
90          |       -263.646   |       -273.759   |        10.1134   |     0.05237901   |   4.316814e-05   |      0.1109439   |   00:00:04   |   00:14:44   |
100         |       -264.681   |       -274.185   |        9.50454   |     0.01368846   |   5.269213e-05   |      0.1104043   |   00:00:04   |   00:13:16   |
100         |       -264.681   |       -274.185   |        9.50454   |     0.01368846   |   5.269213e-05   |      0.1104043   |   00:00:04   |   --:--:--   |
110         |       -267.533   |       -275.104   |        7.57062   |     0.03385728   |   0.0002042507   |     0.07205553   |   00:00:05   |   00:15:04   |
120         |       -267.162   |         -273.7   |        6.53816   |     0.05043763   |    0.001154064   |     0.08364151   |   00:00:05   |   00:13:48   |
130         |       -266.077   |       -273.495   |        7.41857   |      0.0916754   |   0.0003841348   |     0.08517372   |   00:00:06   |   00:15:17   |
