/ufrc/burleigh/nhans/GitHubNH/revBB
c32b-s5.ufhpc
Fri May 31 02:40:07 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdshifttree.nex"
   Successfully read file
0.0317682,0.0717547,0.133963,0.302582
0.0490217,0.0490217,0.0490217,0.0490217
0.1427252

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |         -63824   |         -63503   |       -321.035   |      0.1427252   |     0.09804339   |   00:00:00   |   --:--:--   |
10          |       -41461.5   |       -40992.5   |       -468.953   |     0.03166141   |     0.04418459   |   00:00:02   |   --:--:--   |
20          |       -26088.4   |       -25670.1   |       -418.262   |     0.02630009   |     0.03899182   |   00:00:04   |   01:06:36   |
30          |       -20012.3   |       -19572.2   |       -440.013   |     0.06604215   |     0.05154349   |   00:00:06   |   01:06:34   |
40          |       -17418.5   |       -17170.4   |       -248.114   |     0.01645284   |     0.04552328   |   00:00:09   |   01:14:51   |
50          |         -16126   |       -16008.9   |        -117.14   |     0.08436023   |     0.06309418   |   00:00:11   |   01:13:09   |
60          |       -15998.8   |         -15966   |        -32.734   |     0.03310249   |     0.05270671   |   00:00:13   |   01:12:00   |
70          |       -15850.7   |       -15862.7   |        12.0371   |     0.07122403   |     0.07722314   |   00:00:15   |   01:11:10   |
80          |       -15415.5   |       -15463.4   |        47.9097   |     0.07954021   |     0.07893901   |   00:00:17   |   01:10:33   |
90          |       -15301.7   |       -15352.7   |         51.028   |      0.1500221   |     0.08891748   |   00:00:20   |   01:13:44   |
100         |       -15002.9   |       -15083.7   |         80.787   |        0.18077   |     0.09158044   |   00:00:22   |   01:12:58   |
110         |       -14924.2   |       -15003.1   |        78.9714   |      0.1496237   |     0.09354034   |   00:00:24   |   01:12:19   |
120         |       -14903.3   |       -15002.3   |        98.9353   |      0.1076263   |      0.1082287   |   00:00:27   |   01:14:33   |
130         |       -14893.5   |       -14977.7   |        84.2571   |      0.1576637   |      0.0909489   |   00:00:29   |   01:13:52   |
140         |       -14882.6   |       -14993.3   |        110.613   |        0.13913   |     0.09216229   |   00:00:31   |   01:13:17   |
150         |       -14882.4   |       -14980.9   |        98.5123   |      0.1650117   |      0.0932349   |   00:00:34   |   01:14:59   |
160         |         -14893   |         -14984   |        90.9506   |     0.07446244   |     0.09061985   |   00:00:36   |   01:14:24   |
170         |       -14880.4   |       -14983.2   |        102.802   |     0.05191466   |     0.08647176   |   00:00:38   |   01:13:52   |
180         |         -14890   |       -14991.8   |        101.875   |      0.1451007   |     0.08382683   |   00:00:41   |   01:15:14   |
190         |       -14862.9   |       -14981.2   |        118.304   |      0.0292167   |     0.08862506   |   00:00:43   |   01:14:43   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
200         |       -14873.4   |       -14995.4   |        121.958   |      0.1065469   |     0.09414482   |   00:00:45   |   01:14:15   |
210         |       -14857.6   |       -14976.8   |        119.287   |      0.1258337   |      0.1265873   |   00:00:47   |   01:13:49   |
220         |       -14869.1   |       -14981.8   |        112.634   |      0.1379922   |      0.1768709   |   00:00:49   |   01:13:25   |
230         |       -14856.7   |       -14974.6   |         117.84   |      0.1237918   |      0.2167151   |   00:00:52   |   01:14:29   |
240         |       -14857.6   |       -14975.3   |        117.629   |      0.1098568   |      0.2097516   |   00:00:54   |   01:14:06   |
250         |       -14858.6   |       -14988.5   |        129.915   |      0.1979575   |      0.2091041   |   00:00:57   |   01:15:03   |
260         |       -14867.5   |       -14982.7   |        115.195   |     0.08271092   |       0.212742   |   00:00:59   |   01:14:39   |
