/ufrc/burleigh/nhans/GitHubNH/revBB
c31a-s19.ufhpc
Fri May 31 16:01:22 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -65651.6   |       -65302.6   |        -349.04   |       0.046474   |     0.09804339   |   00:00:01   |   --:--:--   |
100         |       -15222.2   |       -15195.3   |       -26.9768   |     0.03849521   |      0.1569216   |   00:00:16   |   --:--:--   |
200         |       -14935.1   |       -14988.3   |        53.2325   |     0.04373298   |      0.0707444   |   00:00:28   |   00:46:12   |
300         |       -14917.1   |       -14998.3   |        81.2655   |      0.1036428   |     0.09104378   |   00:00:41   |   00:44:52   |
400         |       -14897.5   |       -14982.6   |         85.038   |     0.07947488   |     0.03223527   |   00:00:53   |   00:43:17   |
500         |       -14893.2   |       -14990.3   |        97.0864   |     0.03395912   |      0.0302441   |   00:01:06   |   00:42:54   |
600         |       -14918.5   |         -14987   |        68.5209   |     0.06393931   |      0.0103924   |   00:01:18   |   00:42:02   |
700         |       -14887.3   |       -14983.4   |         96.103   |      0.1450212   |     0.02400123   |   00:01:31   |   00:41:48   |
800         |       -14891.3   |       -14983.1   |        91.7943   |       0.152642   |     0.02757034   |   00:01:44   |   00:41:36   |
900         |       -14888.7   |       -14985.3   |          96.65   |      0.1387705   |    0.005164855   |   00:01:57   |   00:41:23   |
1000        |       -14883.3   |       -14985.3   |        101.966   |     0.06657302   |     0.04059451   |   00:02:08   |   00:40:32   |
1100        |       -14888.6   |       -14971.8   |        83.2371   |     0.02079366   |      0.1075784   |   00:02:21   |   00:40:22   |
1200        |       -14902.4   |       -14975.1   |        72.6625   |      0.1284541   |       0.227352   |   00:02:33   |   00:39:57   |
