state	power	likelihood
200	1	-274.151
300	1	-275.223
400	1	-278.445
200	0.84408	-279.559
300	0.84408	-278.721
400	0.84408	-275.611
200	0.708246	-277.813
300	0.708246	-286.345
400	0.708246	-291.62
200	0.59049	-298.884
300	0.59049	-286.645
400	0.59049	-295.937
200	0.488946	-303.554
300	0.488946	-295.227
400	0.488946	-285.081
200	0.401878	-288.577
300	0.401878	-305.856
400	0.401878	-293.388
200	0.32768	-300.992
300	0.32768	-309.479
400	0.32768	-292.665
200	0.26487	-301.907
300	0.26487	-307.586
400	0.26487	-293.298
200	0.212084	-363.189
300	0.212084	-361.22
400	0.212084	-342.706
200	0.16807	-366.384
300	0.16807	-330.145
400	0.16807	-326.675
200	0.131687	-360.148
300	0.131687	-361.028
400	0.131687	-362.305
200	0.101897	-434.521
300	0.101897	-528.674
400	0.101897	-402.685
200	0.07776	-425.089
300	0.07776	-428.273
400	0.07776	-403.804
200	0.0584303	-390.62
300	0.0584303	-436.379
400	0.0584303	-405.59
200	0.0431513	-444.959
300	0.0431513	-501.538
400	0.0431513	-524.217
200	0.03125	-490.813
300	0.03125	-405.497
400	0.03125	-822.733
200	0.0221327	-573.204
300	0.0221327	-594.899
400	0.0221327	-862.68
200	0.0152796	-746.902
300	0.0152796	-717.354
400	0.0152796	-533.448
200	0.01024	-922.298
300	0.01024	-768.252
400	0.01024	-712.467
200	0.00662761	-1134.29
300	0.00662761	-746.253
400	0.00662761	-1426.55
200	0.00411523	-1388.03
300	0.00411523	-978.742
400	0.00411523	-1420.68
200	0.00243	-1792.29
300	0.00243	-1917.4
400	0.00243	-2549.57
200	0.00134848	-1655.86
300	0.00134848	-2254.78
400	0.00134848	-1577.72
200	0.000691646	-5097.04
300	0.000691646	-2630.86
400	0.000691646	-3303.85
200	0.00032	-6253.09
300	0.00032	-3619.01
400	0.00032	-1453.03
200	0.000128601	-2641.69
300	0.000128601	-3131.13
400	0.000128601	-1939.34
200	4.21399e-05	-3249.39
300	4.21399e-05	-6526.98
400	4.21399e-05	-7636.25
200	1e-05	-7741.69
300	1e-05	-2934.3
400	1e-05	-5845.99
200	1.31687e-06	-7094.96
300	1.31687e-06	-6279.35
400	1.31687e-06	-15517.7
200	4.11523e-08	-9907.11
300	4.11523e-08	-2421.23
400	4.11523e-08	-4579.8
200	1.16658e-302	-2870.94
300	1.16658e-302	-3607.4
400	1.16658e-302	-4787.01
