Iteration	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-47068.5	-46951.9	-116.55	0.212601	0.0858327	0.188991	0.168184	0.140277	0.197933	0.146924	0.121287	0.0703836	0.111551	0.240936	0.169595	0.11526	0.147499	0.115007	0.213272	0.136549	0.103439	0.0736863	0.09679	0.145314	0.180052	0.133798	0.145669	0.172221	0.25047	0.0907989	0.176639	0.213757	0.130636	0.178865	0.165564	0.116666	0.129215	0.169647	0.11929	0.138274	0.208281	0.24246	0.128084	0.198286	0.123226	0.0673502	0.157487	0.158503	0.154063	0.10958	0.142251	0.134603	0.164364	0.215865	0.192608	0.25468	0.27641	0.175413	0.15463	0.161994	0.13082	0.166121	0.126639	0.195651	0.0798967	0.0777455	0.168496	0.131778	0.213215	0.158209	0.105857	0.159337	0.17805	0.079424	0.143566	0.170858	0.163196	0.155805	0.114655	0.15514	0.221086	0.163513	0.112721	0.250558	0.144136	0.178278	0.147941	0.122978	0.305952	0.136497	0.126498	0.0890839	0.179865	0.250286	0.160384	0.160156	0.147616	0.105159	0.508292	0.155564	0.149465	0.1645661	0.05763016	0.0515441	0.0515441	0.0515441	0.0515441	0.05154409	0.0730762	0.0937167	0.113397	0.145426	0.1030882	0.2991112
1	-45250.6	-45155.2	-95.3931	0.161374	0.146122	0.202409	0.127601	0.103061	0.268858	0.146924	0.135049	0.11295	0.165611	0.16391	0.169595	0.208253	0.147499	0.166558	0.213272	0.110109	0.129091	0.114618	0.165626	0.132765	0.176426	0.183915	0.145669	0.141915	0.278575	0.127639	0.18311	0.132776	0.0867484	0.135488	0.131197	0.116666	0.151426	0.169647	0.139865	0.176665	0.198504	0.213622	0.128084	0.168921	0.123226	0.0938194	0.157487	0.210565	0.198313	0.144324	0.103831	0.209198	0.185794	0.252405	0.15607	0.280731	0.236477	0.158622	0.123905	0.140646	0.195405	0.144589	0.101162	0.127969	0.111186	0.101816	0.168496	0.131778	0.295518	0.22854	0.132794	0.159337	0.124386	0.100356	0.206909	0.195121	0.163196	0.158388	0.114655	0.169638	0.196447	0.119908	0.112721	0.188137	0.144136	0.178278	0.137624	0.10916	0.305952	0.0869952	0.186669	0.162664	0.170495	0.173635	0.160384	0.15358	0.196347	0.105159	0.162899	0.154468	0.108528	0.1645661	0.05795775	0.0397477	0.0397477	0.0397477	0.0397477	0.03974772	0.0843734	0.0975235	0.10897	0.125954	0.1030882	0.1741492
2	-42032.2	-41932	-100.198	0.14911	0.14744	0.202409	0.138788	0.168777	0.195746	0.123977	0.135049	0.174693	0.132641	0.16391	0.169595	0.164543	0.147499	0.166558	0.141963	0.0841313	0.171167	0.188715	0.115183	0.132765	0.177828	0.143328	0.105066	0.220451	0.278575	0.127639	0.18311	0.192014	0.0900053	0.115812	0.0959544	0.116666	0.228648	0.169647	0.119982	0.151298	0.190901	0.208425	0.120212	0.159668	0.123226	0.13628	0.123801	0.196432	0.209873	0.144324	0.103831	0.141095	0.206016	0.295098	0.161348	0.280731	0.205875	0.198422	0.195818	0.0752032	0.102065	0.144589	0.202237	0.130247	0.0771552	0.119484	0.118648	0.150068	0.290445	0.22854	0.108534	0.148252	0.145504	0.100356	0.206909	0.272302	0.10658	0.158388	0.0953227	0.169638	0.106399	0.152442	0.125959	0.195715	0.179139	0.153692	0.137624	0.10916	0.31425	0.096504	0.158792	0.0756942	0.16909	0.241888	0.156936	0.15358	0.132642	0.162383	0.162899	0.154468	0.108528	0.1570014	0.08288367	0.0397477	0.0397477	0.0397477	0.0397477	0.03974772	0.0802104	0.0961662	0.110508	0.132491	0.1030882	0.2181352
3	-38440.8	-38337.5	-103.348	0.14911	0.159431	0.144744	0.119201	0.231604	0.210219	0.129608	0.135049	0.149601	0.132641	0.140929	0.125376	0.190071	0.171732	0.0944359	0.170862	0.0961922	0.149983	0.187601	0.119732	0.137247	0.177828	0.18737	0.105066	0.138806	0.278575	0.133405	0.203732	0.12053	0.091678	0.133417	0.0959544	0.141832	0.231865	0.17862	0.119982	0.156685	0.204366	0.117292	0.180202	0.168571	0.123226	0.171408	0.123801	0.196432	0.209873	0.0730213	0.150634	0.149011	0.107848	0.220743	0.138543	0.184107	0.205875	0.170829	0.172608	0.0743367	0.102065	0.144589	0.0976493	0.130247	0.0771552	0.139893	0.154615	0.187451	0.210788	0.22854	0.108534	0.136534	0.124006	0.100356	0.181659	0.220888	0.10658	0.182643	0.114435	0.150298	0.195371	0.232715	0.0823273	0.162668	0.231079	0.102312	0.116345	0.136891	0.233368	0.096504	0.144503	0.0756942	0.210105	0.241888	0.206796	0.210441	0.17337	0.107211	0.139374	0.154468	0.0995294	0.1362332	0.08237268	0.0379095	0.0379095	0.0379095	0.0379095	0.03790955	0.0796689	0.0926722	0.104054	0.121038	0.09819851	0.1817812
4	-32064	-31922.7	-141.284	0.14911	0.123685	0.181449	0.0972511	0.204984	0.107308	0.119489	0.135049	0.149601	0.0909011	0.160959	0.106431	0.190071	0.109413	0.164679	0.121248	0.0905554	0.143848	0.187601	0.135486	0.0852458	0.115435	0.14882	0.105066	0.187455	0.131036	0.133405	0.173205	0.134297	0.0780355	0.133417	0.0959544	0.0913525	0.231865	0.106258	0.213008	0.157172	0.173371	0.11146	0.230412	0.122738	0.089111	0.183361	0.118761	0.197003	0.154267	0.0812064	0.150634	0.120714	0.107848	0.103921	0.075914	0.123003	0.150329	0.143117	0.172608	0.131907	0.0906652	0.10472	0.0772292	0.115868	0.100109	0.132569	0.137713	0.161648	0.136937	0.229101	0.188125	0.13165	0.124006	0.136954	0.373046	0.220888	0.104631	0.172385	0.144741	0.102767	0.120253	0.150394	0.103115	0.163134	0.231079	0.102312	0.0895347	0.124706	0.189824	0.1187	0.100275	0.108612	0.1406	0.211911	0.206796	0.162057	0.17337	0.0924401	0.12489	0.117136	0.0995294	0.09930039	0.04198755	0.0518585	0.0518585	0.0518585	0.0518585	0.05185854	0.106683	0.133224	0.157948	0.197244	0.1450605	0.2671265
5	-30531.8	-30414.4	-117.343	0.114182	0.0447749	0.181449	0.130525	0.131014	0.0906541	0.143442	0.135049	0.149601	0.0999686	0.109779	0.0862531	0.115443	0.103489	0.164679	0.121248	0.0905554	0.0757132	0.184252	0.135486	0.0881748	0.0923349	0.14882	0.132387	0.187455	0.154013	0.0766616	0.172219	0.134297	0.0748828	0.133417	0.118018	0.0720894	0.231865	0.0781176	0.213008	0.108573	0.174492	0.11146	0.146219	0.122738	0.0766353	0.124256	0.180172	0.197003	0.140633	0.115648	0.127409	0.0843498	0.140131	0.0803745	0.0770418	0.127824	0.12523	0.143117	0.12267	0.115018	0.107365	0.117604	0.0772292	0.113946	0.0647755	0.132569	0.158676	0.168282	0.136937	0.168094	0.174815	0.102802	0.135478	0.148142	0.373046	0.105526	0.0964901	0.166355	0.121943	0.097885	0.0654482	0.150394	0.1289	0.129317	0.209762	0.102312	0.13078	0.12503	0.189824	0.1187	0.127378	0.108612	0.138573	0.183556	0.206796	0.241433	0.17337	0.10909	0.112785	0.117136	0.081605	0.09930039	0.05239009	0.0602405	0.0602405	0.0602405	0.0602405	0.06024049	0.089044	0.110596	0.130577	0.162181	0.1201717	0.260609
6	-29012.1	-28933	-79.0525	0.153473	0.0515189	0.159958	0.122253	0.0728218	0.141458	0.117253	0.154673	0.169793	0.0936395	0.142225	0.0862531	0.165225	0.103489	0.113029	0.0757278	0.0905554	0.0724212	0.0870361	0.135486	0.0702638	0.0923349	0.0675632	0.121071	0.148274	0.154013	0.0696939	0.174209	0.134297	0.0736912	0.119776	0.0782796	0.0914306	0.231865	0.0699991	0.163025	0.168416	0.10219	0.0827697	0.0773717	0.0787133	0.140276	0.0988969	0.180172	0.197003	0.0722609	0.115648	0.13699	0.0843498	0.126368	0.0803745	0.0916617	0.127824	0.12523	0.143117	0.12267	0.0970998	0.0571992	0.0734242	0.0979187	0.0925922	0.0983077	0.079391	0.158676	0.107295	0.0870532	0.168094	0.174815	0.0702881	0.113067	0.077732	0.262983	0.112469	0.0657308	0.115992	0.146555	0.106732	0.0492847	0.0949714	0.1289	0.0796648	0.218046	0.114533	0.0817189	0.0691519	0.131584	0.120047	0.127692	0.0931492	0.093438	0.183556	0.21679	0.217171	0.096732	0.0664546	0.110678	0.12054	0.081605	0.09930039	0.04000037	0.0403256	0.0403256	0.0403256	0.0403256	0.04032562	0.0859206	0.12223	0.160129	0.227797	0.1399016	0.4237983
7	-24016.5	-23815.8	-200.764	0.12439	0.0532179	0.165214	0.0847616	0.135909	0.118906	0.114042	0.102844	0.145923	0.0627241	0.14922	0.06583	0.163588	0.0792596	0.0925876	0.0757278	0.0905554	0.0724212	0.0880975	0.133464	0.0802254	0.130378	0.0776251	0.121071	0.148274	0.104339	0.117849	0.164074	0.176834	0.093182	0.0825748	0.0788759	0.0914306	0.179264	0.0699991	0.15005	0.218413	0.113143	0.0594116	0.102973	0.105995	0.140276	0.0825886	0.11773	0.147099	0.0950197	0.0630438	0.136721	0.0843498	0.116324	0.119736	0.0575999	0.100328	0.0773693	0.143117	0.0705973	0.0970998	0.0784545	0.0799656	0.0773683	0.0925922	0.0835893	0.0821975	0.188835	0.113222	0.0859064	0.146204	0.139335	0.117551	0.0830766	0.077732	0.139219	0.112469	0.0657308	0.0720947	0.0932109	0.0805523	0.0807044	0.0585215	0.0796581	0.0796648	0.218046	0.172699	0.10944	0.0715162	0.128614	0.0764282	0.127692	0.102165	0.117705	0.145146	0.144091	0.131717	0.096732	0.0590279	0.0868358	0.12054	0.10254	0.06259213	0.02836442	0.0550709	0.0550709	0.0550709	0.0550709	0.05507092	0.105831	0.150554	0.197236	0.280586	0.1723217	0.4237983
8	-23133.5	-22993.6	-139.847	0.146733	0.0532179	0.165214	0.0627895	0.120177	0.0933962	0.114042	0.0796397	0.145923	0.0488878	0.14922	0.0475874	0.163588	0.0388023	0.0571408	0.0784603	0.0871664	0.118753	0.0880975	0.133464	0.105123	0.108747	0.0606889	0.121071	0.148274	0.101323	0.0511311	0.145927	0.0719264	0.093182	0.0467377	0.075282	0.0914306	0.179264	0.0517993	0.15005	0.218413	0.0696318	0.065485	0.111283	0.0800492	0.140276	0.053332	0.0628194	0.13123	0.108141	0.0577107	0.119066	0.0754444	0.0599172	0.0891274	0.045846	0.114834	0.0556674	0.152127	0.0744186	0.0602774	0.0784545	0.083699	0.0739216	0.0512002	0.0835893	0.0916955	0.154892	0.112041	0.0613734	0.157803	0.0887467	0.0798199	0.0829096	0.0776646	0.139219	0.121422	0.0657308	0.0524767	0.0561763	0.0805523	0.0807044	0.110013	0.0473312	0.0706933	0.218046	0.140328	0.10085	0.0435988	0.113593	0.042308	0.127692	0.0817338	0.140961	0.0709966	0.087808	0.100608	0.096732	0.0488475	0.0695716	0.120787	0.10254	0.06259213	0.02836442	0.0254941	0.0254941	0.0254941	0.0254941	0.02549406	0.0981442	0.147442	0.201399	0.302563	0.1723217	0.4893516
9	-21945.1	-21874.3	-70.85	0.0894653	0.0807002	0.103983	0.0624288	0.0867191	0.0664699	0.107535	0.0476072	0.116862	0.0606299	0.0926457	0.059235	0.111883	0.0513655	0.0571408	0.0436363	0.0871664	0.118753	0.0792985	0.164032	0.0883059	0.108255	0.0606889	0.119182	0.114234	0.0600087	0.0511311	0.145927	0.0727921	0.0992383	0.0479389	0.0561279	0.0636902	0.127575	0.0790055	0.0971863	0.218413	0.0696318	0.0816874	0.0888848	0.0663594	0.0439415	0.053332	0.0397328	0.13123	0.109307	0.0466744	0.0802753	0.0654357	0.0669217	0.0891274	0.0467589	0.106755	0.0809836	0.110508	0.0434978	0.0602774	0.0784545	0.056452	0.0629357	0.0493969	0.0492593	0.0916955	0.154892	0.104528	0.087719	0.0666265	0.0525161	0.0584568	0.0513727	0.0608455	0.139219	0.100811	0.0657308	0.0524767	0.0561763	0.0662745	0.0807044	0.0712124	0.0669092	0.0706933	0.218046	0.0934663	0.120048	0.0690545	0.113593	0.0688421	0.0697536	0.0655594	0.148765	0.0486212	0.087808	0.115928	0.096732	0.0488475	0.0695716	0.120787	0.0798188	0.06259213	0.03030279	0.0385386	0.0385386	0.0385386	0.0385386	0.03853857	0.120397	0.180872	0.247063	0.371163	0.2113926	0.4893516
