Iteration	Posterior	Likelihood	Prior	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-52084.5	-51813	-271.445	0.230593	0.01684694	0.0515441	0.0515441	0.0515441	0.0515441	0.05154409	0.0421453	0.0804652	0.132072	0.252155	0.1030882	0.7775557
1	-47886.6	-47624.5	-262.162	0.230593	0.0245166	0.100176	0.100176	0.100176	0.100176	0.1001761	0.0297568	0.0568127	0.0932496	0.178035	0.07278569	0.7775557
2	-45746	-45486	-260.043	0.230593	0.0245166	0.165337	0.165337	0.165337	0.165337	0.1653367	0.0277648	0.0547465	0.0921059	0.181614	0.07101039	0.8163236
3	-38901.9	-38648.5	-253.341	0.1567795	0.01764743	0.165337	0.165337	0.165337	0.165337	0.1653367	0.0340452	0.0671301	0.11294	0.222695	0.08707285	0.8163236
4	-32009.6	-31762	-247.536	0.1089315	0.02639386	0.266839	0.266839	0.266839	0.266839	0.2668389	0.042409	0.083622	0.140686	0.277404	0.1084641	0.8163236
5	-29216.2	-28973.8	-242.382	0.09018549	0.02639386	0.217365	0.217365	0.217365	0.217365	0.2173646	0.0408115	0.0804719	0.135386	0.266954	0.1043782	0.8163236
6	-28279.7	-28040.1	-239.574	0.09018549	0.04011463	0.217365	0.217365	0.217365	0.217365	0.2173646	0.0408115	0.0804719	0.135386	0.266954	0.1043782	0.8163236
7	-24891.7	-24655.6	-236.052	0.06127667	0.04011463	0.341937	0.341937	0.341937	0.341937	0.3419368	0.0794694	0.135534	0.20403	0.34797	0.1662919	0.6418683
8	-21034	-20795	-239.002	0.02792426	0.05017981	0.341937	0.341937	0.341937	0.341937	0.3419368	0.0794694	0.135534	0.20403	0.34797	0.1662919	0.6418683
9	-20240.3	-19999	-241.379	0.02483351	0.08546695	0.239709	0.239709	0.239709	0.239709	0.2397085	0.0824411	0.136919	0.201966	0.335427	0.1662919	0.6099542
10	-19365.7	-19124.9	-240.78	0.01780664	0.0808711	0.269636	0.269636	0.269636	0.269636	0.2696358	0.0771486	0.134426	0.205712	0.358438	0.1662919	0.6676324
11	-18763.3	-18519.2	-244.086	0.01522447	0.07186158	0.324966	0.324966	0.324966	0.324966	0.3249665	0.0730877	0.12735	0.194884	0.33957	0.1575386	0.6676324
12	-18560.5	-18315.7	-244.739	0.01493498	0.07497543	0.324966	0.324966	0.324966	0.324966	0.3249665	0.0730877	0.12735	0.194884	0.33957	0.1575386	0.6676324
13	-18456.4	-18210.7	-245.61	0.01493498	0.08357549	0.324966	0.324966	0.324966	0.324966	0.3249665	0.0730877	0.12735	0.194884	0.33957	0.1575386	0.6676324
14	-17886.6	-17642.1	-244.426	0.01087514	0.05461426	0.330218	0.330218	0.330218	0.330218	0.3302183	0.0608151	0.121028	0.205064	0.408096	0.1575386	0.8274288
15	-17835.7	-17590.5	-245.128	0.01087514	0.04504082	0.330218	0.330218	0.330218	0.330218	0.3302183	0.0608151	0.121028	0.205064	0.408096	0.1575386	0.8274288
16	-17763.3	-17516.8	-246.502	0.01087514	0.04504082	0.330218	0.330218	0.330218	0.330218	0.3302183	0.0608151	0.121028	0.205064	0.408096	0.1575386	0.8274288
17	-17699.4	-17452.3	-247.151	0.01087514	0.04250058	0.396493	0.396493	0.396493	0.396493	0.396493	0.0608151	0.121028	0.205064	0.408096	0.1575386	0.8274288
18	-17579.4	-17331.4	-248.017	0.01087514	0.05989921	0.314602	0.314602	0.314602	0.314602	0.3146024	0.0744571	0.128006	0.193885	0.333325	0.1575386	0.6514956
19	-17543.8	-17296.2	-247.541	0.01087514	0.06968931	0.314602	0.314602	0.314602	0.314602	0.3146024	0.0773378	0.132959	0.201386	0.346221	0.1636338	0.6514956
20	-17534.1	-17286.5	-247.62	0.01087514	0.05624024	0.314602	0.314602	0.314602	0.314602	0.3146024	0.0749333	0.131801	0.203155	0.357331	0.1636338	0.6789524
21	-17501.6	-17252	-249.582	0.01087514	0.05277199	0.314602	0.314602	0.314602	0.314602	0.3146024	0.0768102	0.135102	0.208244	0.366282	0.1677325	0.6789524
22	-17479.5	-17227.5	-251.981	0.01087514	0.1030481	0.308481	0.308481	0.308481	0.308481	0.3084811	0.0743454	0.130766	0.201562	0.354528	0.1623499	0.6789524
