Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-65329.4	-65060.8	-268.589	0.07825473	0.02418538	0.1024401	0.2360929
1	1	-68808	-68519.9	-288.118	-0.05251853	0.06179839	0.009279861	6.659409
2	0	-52624	-52385.2	-238.841	0.1755718	0.015125	0.1906968	0.07931442
3	1	-57117.7	-56852.5	-265.2	-0.1196412	0.1259031	0.00626189	20.10624
4	0	-41100.4	-40896.3	-204.054	0.4993676	0.009283672	0.5086513	0.01825155
5	1	-43695.5	-43469.1	-226.424	-0.260872	0.2735108	0.01263884	21.64051
6	0	-33463	-33291.3	-171.798	0.6009736	0.01235963	0.6133333	0.02015158
7	1	-33842.9	-33669.2	-173.619	-0.9132523	0.9441617	0.03090944	30.54606
8	0	-25900	-25756.3	-143.699	1.070985	0.02141419	1.092399	0.0196029
9	1	-27720.7	-27577.2	-143.431	-1.60612	1.616586	0.0104656	154.4667
10	0	-20670	-20546.6	-123.396	1.919392	0.0150944	1.934486	0.007802796
11	1	-22855.7	-22722.1	-133.56	-1.584698	1.588006	0.003307176	480.1696
12	0	-19573.4	-19459.8	-113.636	2.756951	0.02404617	2.780998	0.008646597
13	1	-19895.9	-19771	-124.991	-2.105237	2.11943	0.01419356	149.3234
14	0	-18160.6	-18051.1	-109.473	3.605202	0.01456821	3.61977	0.004024623
15	1	-18703.5	-18581.4	-122.116	-2.328631	2.353537	0.02490661	94.49449
16	0	-17378	-17274.7	-103.235	3.932299	0.0987436	4.031042	0.0244958
17	1	-17994.1	-17888.4	-105.719	-2.87315	2.925564	0.05241387	55.81661
18	0	-17349.1	-17247.3	-101.716	3.695211	0.02274574	3.717957	0.006117807
19	1	-17928	-17822.2	-105.826	-2.740055	2.858451	0.1183964	24.14305
20	0	-17338.4	-17235.1	-103.245	2.646839	0.02375857	2.670597	0.00889635
21	1	-17912.9	-17806.9	-105.957	-3.465286	3.670053	0.2047669	17.92308
22	0	-17326.9	-17225.9	-101.035	3.581886	0.01535566	3.597242	0.004268731
23	1	-17877.1	-17770.9	-106.178	-2.996558	3.250104	0.253546	12.8186
24	0	-17324	-17222.9	-101.11	3.531643	0.03945591	3.571099	0.01104867
25	1	-17549.1	-17444.3	-104.787	-2.903855	3.235257	0.3314017	9.762341
26	0	-17314.7	-17213.8	-100.863	3.956023	0.01348044	3.969503	0.003396003
27	1	-17540.2	-17435	-105.184	-3.613023	4.009578	0.3965559	10.11101
28	0	-17307.9	-17207.5	-100.38	3.535879	0.00337806	3.539257	0.0009544546
29	1	-17514	-17412.5	-101.564	-3.598664	3.695516	0.09685172	38.15643
30	0	-17304.2	-17203.8	-100.344	3.706054	0.006695323	3.71275	0.001803333
31	1	-17513.2	-17412.2	-101.01	-4.062016	4.086313	0.02429737	168.1793
32	0	-17312.7	-17212.3	-100.367	3.98858	0.009116094	3.997696	0.002280337
33	1	-17520	-17418.7	-101.363	-3.92215	3.980976	0.05882576	67.67402
34	0	-17312.9	-17212.1	-100.779	3.329971	0.04943418	3.379405	0.01462807
35	1	-17514.2	-17413.2	-100.913	-3.175071	3.200868	0.02579682	124.08
36	0	-17321.1	-17215.7	-105.394	2.230158	0.09232711	2.322485	0.03975359
37	1	-17518.8	-17417.7	-101.057	-3.383282	3.45315	0.06986832	49.42369
38	0	-17317.3	-17214.7	-102.624	2.663992	0.04223712	2.706229	0.01560737
39	1	-17512.2	-17411.4	-100.742	-3.797113	3.854363	0.05724993	67.32519
