Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-65329.4	-65060.8	-268.589	0.07825473	0.02418538	0.1024401	0.2360929
10	-52624	-52385.2	-238.841	0.1755718	0.015125	0.1906968	0.07931442
20	-41100.4	-40896.3	-204.054	0.4993676	0.009283672	0.5086513	0.01825155
30	-33463	-33291.3	-171.798	0.6009736	0.01235963	0.6133333	0.02015158
40	-25900	-25756.3	-143.699	1.070985	0.02141419	1.092399	0.0196029
50	-20670	-20546.6	-123.396	1.919392	0.0150944	1.934486	0.007802796
60	-19573.4	-19459.8	-113.636	2.756951	0.02404617	2.780998	0.008646597
70	-18160.6	-18051.1	-109.473	3.605202	0.01456821	3.61977	0.004024623
80	-17378	-17274.7	-103.235	3.932299	0.0987436	4.031042	0.0244958
90	-17349.1	-17247.3	-101.716	3.695211	0.02274574	3.717957	0.006117807
100	-17338.4	-17235.1	-103.245	2.646839	0.02375857	2.670597	0.00889635
110	-17326.9	-17225.9	-101.035	3.581886	0.01535566	3.597242	0.004268731
120	-17324	-17222.9	-101.11	3.531643	0.03945591	3.571099	0.01104867
130	-17314.7	-17213.8	-100.863	3.956023	0.01348044	3.969503	0.003396003
140	-17307.9	-17207.5	-100.38	3.535879	0.00337806	3.539257	0.0009544546
150	-17304.2	-17203.8	-100.344	3.706054	0.006695323	3.71275	0.001803333
160	-17312.7	-17212.3	-100.367	3.98858	0.009116094	3.997696	0.002280337
170	-17312.9	-17212.1	-100.779	3.329971	0.04943418	3.379405	0.01462807
180	-17321.1	-17215.7	-105.394	2.230158	0.09232711	2.322485	0.03975359
190	-17317.3	-17214.7	-102.624	2.663992	0.04223712	2.706229	0.01560737
200	-17187.4	-17087	-100.39	3.779421	0.04989028	3.829311	0.01302852
210	-17195	-17093.3	-101.779	2.807015	0.08519451	2.89221	0.02945655
220	-17184.1	-17083.7	-100.44	3.524862	0.06446085	3.589322	0.01795906
230	-17186.3	-17084.4	-101.954	3.209884	0.1911589	3.401043	0.05620598
240	-17179.2	-17077.9	-101.234	4.408207	0.05649187	4.464699	0.01265301
250	-17190.7	-17090.4	-100.303	3.129878	0.03745527	3.167334	0.01182549
260	-17182.1	-17081.7	-100.363	4.487908	0.005246898	4.493154	0.001167754
270	-17176.5	-17076.7	-99.8322	3.998904	0.02376512	4.022669	0.005907799
280	-17174	-17074.3	-99.7012	3.241825	0.007316067	3.249141	0.002251693
290	-17181.3	-17081.5	-99.8663	4.190817	0.01176936	4.202586	0.002800504
300	-17174.8	-17074.5	-100.368	4.602743	0.003525156	4.606268	0.0007652956
310	-17181.1	-17081.5	-99.6798	4.296409	0.001429156	4.297838	0.0003325291
320	-17187	-17085.8	-101.26	3.366982	0.1539316	3.520914	0.04371922
330	-17179.4	-17079.1	-100.323	3.507894	0.07169174	3.579586	0.02002794
